entry,name,subname,included_spawn_count,area_count,area_ids,negative_event_baseline_count,minlevel,maxlevel,faction_template_id,template_npcflag,rank,creature_type,creature_family,type_flags,template_movement_type,template_unit_flags,flags_extra,ai_name,script_name,spawn_movement_types,path_spawn_count,wander_spawn_count
94,Defias Cutpurse,,40,3,12|89|92,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,0|1|2,2,35
97,Riverpaw Runt,,22,3,60|63|86,0,8,9,20,0,0,7,0,0,1,0,0,SmartAI,,0|1,0,9
99,Morgaine the Sly,,1,1,89,0,10,10,17,0,4,7,0,0,0,0,0,SmartAI,,0,0,0
100,Gruff Swiftbite,,5,1,60,0,12,12,20,0,4,7,0,0,1,0,0,SmartAI,,1,0,5
103,Garrick Padfoot,,1,1,59,0,5,5,7,0,0,7,0,0,0,0,0,SmartAI,,0,0,0
113,Stonetusk Boar,,52,5,12|57|63|64|87,2,5,6,189,0,0,1,5,1,1,0,0,SmartAI,,1,0,52
116,Defias Bandit,,47,7,12|18|62|89|92|797|798,0,8,9,17,0,0,7,0,0,1,0,0,SmartAI,,0|1|2,1,41
118,Prowler,,83,4,12|86|88|798,0,9,10,38,0,0,1,1,1,1,0,0,,,1,0,83
119,Longsnout,,9,1,60,0,10,11,189,0,0,1,5,1,1,0,0,SmartAI,,1,0,9
151,Brog Hamfist,General Supplies,1,1,87,0,10,10,12,384,0,7,0,0,0,512,66,,,0,0,0
152,Brother Danil,General Supplies,1,1,9,0,5,5,12,384,0,7,0,0,0,768,66,,,0,0,0
190,Dermot Johns,Cloth & Leather Armor Merchant,1,1,9,0,5,5,12,4224,0,7,0,0,0,768,66,,,0,0,0
196,Eagan Peltskinner,,1,1,9,0,3,3,12,2,0,7,0,0,0,768,66,,,0,0,0
197,Marshal McBride,,1,1,24,0,20,20,12,3,0,7,0,0,0,768,66,SmartAI,,0,0,0
198,Khelden Bremen,Mage Trainer,1,1,24,0,5,5,12,51,0,7,0,0,0,768,66,,,0,0,0
240,Marshal Dughan,,1,1,87,0,25,25,12,2,0,7,0,0,0,512,66,,,0,0,0
241,"Remy ""Two Times""",,1,1,87,0,5,5,12,2,0,7,0,0,0,512,66,,,0,0,0
244,Ma Stonefield,,1,1,63,0,3,3,12,2,0,7,0,0,0,512,66,,,0,0,0
246,Auntie Bernice Stonefield,,1,1,63,0,6,6,12,2,0,7,0,0,0,512,66,,,0,0,0
247,Billy Maclure,,1,1,64,0,1,1,12,2,0,7,0,0,0,768,66,,,0,0,0
248,Gramma Stonefield,,1,1,63,0,3,3,12,2,0,7,0,0,0,512,66,,,0,0,0
250,Pa Maclure,,1,1,64,0,6,6,12,0,0,7,0,0,0,512,66,,,0,0,0
251,Maybell Maclure,,1,1,64,0,2,2,12,2,0,7,0,0,0,512,66,SmartAI,,0,0,0
252,Tommy Joe Stonefield,,1,1,63,0,2,2,12,2,0,7,0,0,0,512,66,,,0,0,0
253,William Pestle,,1,1,87,0,6,6,12,2,0,7,0,0,0,512,66,SmartAI,,0,0,0
255,Gerard Tiller,,1,1,64,0,6,6,12,2,0,7,0,0,0,512,66,,,0,0,0
257,Kobold Worker,,43,2,9|34,0,3,3,25,0,0,7,0,0,1,0,2,SmartAI,,0|1,0,35
258,Joshua Maclure,Vintner,1,1,64,0,5,5,12,128,0,7,0,0,0,512,66,,,0,0,0
261,Guard Thomas,,1,1,12,0,30,30,12,2,0,7,0,0,0,512,66,,,0,0,0
278,Sara Timberlain,,1,1,88,0,5,5,12,2,0,7,0,0,0,512,66,,,0,0,0
285,Murloc,,35,1,18,0,6,7,18,0,0,7,0,0,1,32768,0,,,0|1,0,10
294,Marshal Haggard,,1,1,88,0,20,20,12,2,0,7,0,0,0,512,66,,,0,0,0
295,Innkeeper Farley,Innkeeper,1,1,87,0,30,30,12,66179,0,7,0,0,0,512,66,SmartAI,,0,0,0
299,Diseased Young Wolf,,45,3,9|12|87,4,1,1,32,0,0,1,1,1,1,0,0,,,1,0,45
313,Theocritus,Mage of Tower Azora,1,1,91,0,24,24,12,2,0,7,0,0,0,512,66,,,0,0,0
327,Goldtooth,,1,1,57,0,8,8,26,0,0,7,0,0,1,0,0,SmartAI,,0,0,0
328,Zaldimar Wefhellt,Mage Trainer,1,1,87,0,13,13,12,51,0,7,0,0,0,512,66,,,0,0,0
330,Princess,,1,1,62,0,9,9,7,0,0,1,5,1,1,0,0,SmartAI,,2,1,0
375,Priestess Anetta,Priest Trainer,1,1,24,0,5,5,12,51,0,7,0,0,0,768,66,,,0,0,0
377,Priestess Josetta,Priest Trainer,1,1,87,0,13,13,12,51,0,7,0,0,0,512,66,,,0,0,0
383,Jason Mathers,Fishmonger,1,1,18,0,7,7,12,2,0,7,0,0,0,512,66,,,0,0,0
384,Katie Hunter,Horse Breeder,1,1,88,0,10,10,12,129,0,7,0,0,0,512,66,,,0,0,0
385,Horse,,1,1,88,0,5,5,35,0,0,8,0,0,1,0,66,,,0,0,0
390,Porcine Entourage,,2,1,62,0,7,7,7,0,0,1,5,1,1,0,0,SmartAI,,0,0,0
395,Markus,,1,1,12,0,1,1,12,0,0,7,0,0,1,768,66,,,0,0,0
448,Hogger,,1,1,60,0,11,11,20,0,1,7,0,0,1,64,0,SmartAI,,1,0,1
459,Drusilla La Salle,Warlock Trainer,1,1,9,0,5,5,12,51,0,7,0,0,0,768,66,,,0,0,0
465,Barkeep Dobbins,Bartender,1,1,87,0,10,10,12,640,0,7,0,0,0,512,66,,,0,0,0
471,Mother Fang,,1,1,54,0,10,10,22,0,4,1,3,1,1,0,0,SmartAI,,0,0,0
472,Fedfennel,,4,1,86,0,12,12,20,0,4,7,0,0,0,0,0,SmartAI,,0|1,0,3
473,Morgan the Collector,,1,1,62,0,10,10,17,0,0,7,0,0,0,0,0,SmartAI,,0,0,0
474,Defias Rogue Wizard,,28,5,18|56|86|92|797,0,9,10,17,0,0,7,0,0,0,0,0,SmartAI,,0,0,0
475,Kobold Tunneler,,39,2,12|57,0,5,6,26,0,0,7,0,0,1,0,0,SmartAI,,1|2,1,38
476,Kobold Geomancer,,8,1,54,0,7,8,26,0,0,7,0,0,1,0,0,SmartAI,,0|1|2,2,3
478,Riverpaw Outrunner,,63,2,60|86,0,9,10,20,0,0,7,0,0,1,0,0,SmartAI,,0|1,0,49
514,Smith Argus,Blacksmithing Trainer,1,1,87,0,24,24,12,83,0,7,0,0,0,512,66,,,0,0,0
524,Rockhide Boar,,90,4,12|62|64|797,0,7,8,189,0,0,1,5,1,1,0,0,SmartAI,,1,0,90
525,Mangy Wolf,,84,7,12|18|60|87|89|92|120,0,5,6,38,0,0,1,1,1,1,0,0,,,0|1|2,3,74
620,Chicken,,20,4,12|87|88|797,0,1,1,31,2,0,8,0,0,1,0,66,,npc_chicken_cluck,0|1,0,12
721,Rabbit,,94,14,9|12|34|57|59|60|62|63|64|87|88|120|797|798,1,1,1,31,0,0,8,0,0,1,0,66,,,1,0,94
732,Murloc Lurker,,42,2,12|86,0,9,10,18,0,0,7,0,0,1,32768,0,SmartAI,,0|1,0,20
735,Murloc Streamrunner,,21,1,18,0,6,7,18,0,0,7,0,0,1,32768,0,,,0|1|2,1,16
794,Matt,,1,1,18,0,1,1,12,0,0,7,0,0,0,768,66,SmartAI,,0,0,0
795,Mark,,1,1,87,0,1,1,12,0,0,7,0,0,0,768,66,,,2,1,0
796,Joshua,,1,1,87,0,1,1,12,0,0,7,0,0,0,768,66,,,2,1,0
797,Bo,,1,1,87,0,1,1,12,0,0,7,0,0,0,768,66,,,2,1,0
798,Solomon,,1,1,88,0,1,1,12,0,0,7,0,0,1,768,66,,,1,0,1
799,Kevin,,1,1,88,0,1,1,12,0,0,7,0,0,1,768,66,,,1,0,1
800,Kyle,,1,1,88,0,1,1,12,0,0,7,0,0,1,768,66,,,1,0,1
801,Eric,,1,1,88,0,1,1,12,0,0,7,0,0,0,768,66,,,1,0,1
802,Jay,,1,1,88,0,1,1,12,0,0,7,0,0,1,768,66,,,1,0,1
804,Dana,,1,1,87,0,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
805,Cameron,,1,1,87,0,1,1,12,0,0,7,0,0,0,768,66,,npc_cameron,0,0,0
806,John,,1,1,87,0,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
807,Lisa,,1,1,87,0,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
810,Aaron,,1,1,87,0,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
811,Jose,,1,1,87,0,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
822,Young Forest Bear,,47,12,12|18|57|60|62|64|86|88|91|120|797|798,0,8,9,44,0,0,1,4,1,1,0,0,,,1|2,1,46
823,Deputy Willem,,1,1,9,0,18,18,12,2,0,7,0,0,0,768,66,,,0,0,0
844,Antonio Perelli,Traveling Salesman,1,1,12,0,35,35,12,128,0,7,0,0,0,512,66,SmartAI,,2,1,0
880,Erlan Drudgemoor,,1,1,62,0,8,8,17,0,0,7,0,0,0,0,0,,,0,0,0
881,Surena Caledon,,1,1,62,0,9,9,17,0,0,7,0,0,0,0,0,SmartAI,,0,0,0
883,Deer,,45,12,9|12|34|57|59|60|62|64|86|87|88|797,0,5,5,31,0,0,8,0,0,1,0,66,,,1,0,45
890,Fawn,,13,5,9|12|60|87|88,0,1,1,31,0,0,8,0,0,1,0,66,,,0|1,0,5
894,Homer Stonefield,Fruit Seller,1,1,63,0,5,5,12,640,0,7,0,0,0,512,66,,,0,0,0
896,Veldan Lightfoot,Leather Armor Merchant,1,1,120,0,10,10,12,4224,0,7,0,0,0,512,66,,,0,0,0
906,Maximillian Crowe,Warlock Trainer,1,1,87,0,10,10,12,49,0,7,0,0,0,512,66,,,0,0,0
911,Llane Beshere,Warrior Trainer,1,1,24,0,5,5,12,51,0,7,0,0,0,768,66,,,0,0,0
913,Lyria Du Lac,Warrior Trainer,1,1,87,0,12,12,12,51,0,7,0,0,0,512,66,,,0,0,0
915,Jorik Kerridan,Rogue Trainer,1,1,9,0,5,5,12,51,0,7,0,0,0,768,66,SmartAI,,0,0,0
917,Keryn Sylvius,Rogue Trainer,1,1,87,0,11,11,12,51,0,7,0,0,0,512,66,SmartAI,,0,0,0
925,Brother Sammuel,Paladin Trainer,1,1,24,0,5,5,12,51,0,7,0,0,0,768,66,,,0,0,0
927,Brother Wilhelm,Paladin Trainer,1,1,87,0,11,11,12,51,0,7,0,0,0,512,66,,,0,0,0
951,Brother Paxton,Librarian,1,1,24,0,27,27,12,2,0,7,0,0,0,768,66,,,0,0,0
952,Brother Neals,,1,1,24,0,50,50,12,2,0,7,0,0,0,768,66,,,0,0,0
955,Sergeant De Vries,Morale Officer,1,1,120,0,10,10,12,640,0,7,0,0,0,512,66,,,0,0,0
958,Dawn Brightstar,Arcane Goods,1,1,91,0,35,35,12,2176,0,7,0,0,0,512,66,,,0,0,0
959,Morley Eberlein,Clothier,1,1,91,0,10,10,12,4224,0,7,0,0,0,512,66,,,0,0,0
963,Deputy Rainer,,1,1,120,0,10,10,12,3,0,7,0,0,0,512,66,,,0,0,0
1103,Eldrin,Tailoring Trainer,1,1,88,0,22,22,12,81,0,7,0,0,0,512,66,,,0,0,0
1198,Rallic Finn,Bowyer,1,1,88,0,18,18,12,4480,0,7,0,0,0,512,66,,,0,0,0
1213,Godric Rothgar,Armorer & Shieldcrafter,1,1,9,0,5,5,12,4224,0,7,0,0,0,768,66,,,0,0,0
1215,Alchemist Mallory,Alchemy Trainer,1,1,12,0,26,26,12,81,0,7,0,0,0,512,66,,,0,0,0
1218,Herbalist Pomeroy,Herbalism Trainer,1,1,12,0,10,10,12,81,0,7,0,0,0,512,66,,,0,0,0
1249,Quartermaster Hudson,Armorer & Shieldcrafter,1,1,120,0,10,10,12,4224,0,7,0,0,0,512,66,,,0,0,0
1250,Drake Lindgren,General & Trade Supplies,1,1,88,0,10,10,12,384,0,7,0,0,0,512,66,,,0,0,0
1423,Stormwind Guard,,38,5,12|60|87|120|798,0,22,25,11,1,0,7,0,0,0,32768,32832,,,0|2,10,0
1430,Tomas,Cook,1,1,87,0,10,10,12,81,0,7,0,0,0,512,66,,,0,0,0
1632,Adele Fielder,Leatherworking Trainer,1,1,87,0,22,22,12,81,0,7,0,0,0,512,66,,,0,0,0
1642,Northshire Guard,,7,2,9|12,0,65,65,11,0,0,7,0,0,0,0,64,,,0|2,3,0
1645,Quartermaster Hicks,Master Weaponsmith,1,1,120,0,10,10,12,4224,0,7,0,0,0,512,66,,,0,0,0
1650,Terry Palin,Lumberjack,1,1,88,0,11,11,12,128,0,7,0,0,0,512,66,,,0,0,0
1651,Lee Brown,Fishing Trainer,1,1,18,0,8,8,12,81,0,7,0,0,0,512,66,,,0,0,0
1922,Gray Forest Wolf,,55,5,12|18|54|86|91,0,7,8,38,0,0,1,1,1,1,0,0,SmartAI,,1,0,55
1933,Sheep,,17,7,12|62|63|86|87|88|92,1,3,3,31,0,0,8,0,0,1,0,66,,,1,0,17
1949,Servant of Azora,,10,1,91,0,8,9,12,0,0,7,0,0,0,0,0,,,0|2,1,0
1975,Eastvale Lumberjack,,3,1,88,0,7,8,11,0,0,7,0,0,1,0,0,,,1|2,1,2
2046,Andrew Krighton,Armorer & Shieldcrafter,1,1,87,0,8,8,12,4224,0,7,0,0,0,0,66,,,0,0,0
2329,Michelle Belle,Physician,1,1,87,0,11,11,12,81,0,7,0,0,0,512,66,,,0,0,0
2442,Cow,,46,12,12|18|54|57|60|62|63|86|88|91|120|798,0,5,5,190,0,0,8,0,0,1,0,64,,,1,0,46
3935,Toddrick,Butcher,1,1,87,0,10,10,12,640,0,7,0,0,0,512,66,,,0,0,0
3937,Kira Songshine,Traveling Baker,1,1,87,0,12,12,12,640,0,7,0,0,0,512,66,SmartAI,,2,1,0
4732,Randal Hunter,Riding Trainer,1,1,88,0,10,10,12,83,0,7,0,0,0,512,66,,,0,0,0
5403,Riding White Stallion,,2,2,9|87,0,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
5405,Pinto,,1,1,88,0,1,2,35,2,0,1,0,0,0,0,2,,,0,0,0
5406,Palomino,,1,1,87,0,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
5917,Clara Charles,,1,1,12,0,1,2,12,0,0,7,0,0,0,0,2,SmartAI,,2,1,0
6093,Dead-Tooth Jack,,1,1,12,0,11,11,17,0,0,7,0,0,1,0,0,,,0,0,0
6121,Remen Marcot,,1,1,87,0,10,10,12,2,0,7,0,0,0,512,66,,,0,0,0
6172,Henze Faulk,,1,1,56,0,10,10,123,2,0,7,0,0,0,768,64,SmartAI,,0,0,0
6306,Helene Peltskinner,Skinning Trainer,1,1,87,0,12,12,12,80,0,7,0,0,0,512,66,,,0,0,0
6367,Donni Anthania,Crazy Cat Lady,1,1,12,0,5,5,12,128,0,7,0,0,0,512,66,,,0,0,0
6368,Cat,,9,1,12,0,1,1,188,0,0,8,0,0,1,0,66,,,1,0,9
6373,Dane Winslow,,1,1,9,0,8,8,12,0,0,7,0,0,0,768,66,,,0,0,0
6374,Cylina Darkheart,,1,1,87,0,11,11,12,0,0,7,0,0,0,512,66,SmartAI,,0,0,0
6491,Spirit Healer,,4,4,9|12|88|91,0,60,60,35,16385,0,7,0,2,1,768,66,,,0,0,0
6749,Erma,Stable Master,1,1,87,0,30,30,12,4194305,0,7,0,0,0,512,66,,npc_stable_master,0,0,0
6774,Falkhaan Isenstrider,,1,1,9,0,10,10,12,2,0,7,0,0,0,768,66,,,0,0,0
6778,Melika Isenstrider,Assistant Innkeeper,1,1,87,0,11,11,12,2,0,7,0,0,0,512,66,,npc_innkeeper,0,0,0
6846,Defias Dockmaster,,1,1,797,0,10,10,27,0,0,7,0,0,0,0,0,SmartAI,,2,1,0
6927,Defias Dockworker,,3,1,797,0,8,9,17,0,0,7,0,0,1,0,0,SmartAI,,2,3,0
7381,Silver Tabby Cat,,1,1,12,0,1,1,188,0,0,12,0,0,0,768,66,SmartAI,,1,0,1
7382,Orange Tabby Cat,,1,1,12,0,1,1,188,0,0,12,0,0,0,768,66,SmartAI,,1,0,1
7384,Cornish Rex Cat,,1,1,12,0,1,1,188,0,0,12,0,0,1,768,66,SmartAI,,1,0,1
7385,Bombay Cat,,1,1,12,0,1,1,188,0,0,12,0,0,0,768,66,SmartAI,,1,0,1
9296,Milly Osworth,,1,1,9,0,2,2,12,2,0,7,0,0,0,768,66,,,0,0,0
10616,Supervisor Raelen,,1,1,88,0,15,15,123,2,0,7,0,0,0,0,66,SmartAI,,0,0,0
11072,Kitta Firewind,Enchanting Trainer,1,1,91,0,44,44,12,81,0,7,0,0,0,512,66,,,0,0,0
11260,Northshire Peasant,,5,1,9,0,1,1,12,0,0,7,0,0,0,256,66,,,2,5,0
11328,Eastvale Peasant,,5,1,88,0,6,7,12,0,0,7,0,0,1,0,2,,,2,5,0
11940,Merissa Stilwell,,1,1,87,0,5,5,12,2,0,7,0,0,0,768,66,,,0,0,0
11979,Kim Bridenbecker,,1,1,12,0,25,25,12,0,0,7,0,0,0,0,2,,,0,0,0
11994,Rob Bridenbecker,,1,1,12,0,25,25,12,0,0,7,0,0,0,0,2,,,0,0,0
11996,Ashley Bridenbecker,,1,1,12,0,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
12375,Chestnut Mare,,1,1,88,0,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
12376,Brown Horse,,1,1,88,0,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
12423,Guard Roberts,,1,1,18,0,7,7,12,0,0,7,0,0,0,0,66,SmartAI,,0,0,0
13159,James Clark,,1,1,88,0,12,12,7,0,0,7,0,0,0,32768,0,,,0,0,0
13321,Frog,,234,12,12|18|57|60|62|63|64|86|88|89|92|797,0,1,1,188,0,0,8,0,0,1,0,66,,,1,0,234
14388,Rogue Black Drake,,3,1,12,0,50,52,1394,0,0,2,0,0,1,0,64,SmartAI,,1,0,3
14390,Expeditionary Mountaineer,,1,1,12,0,36,40,57,0,1,7,0,0,1,64,0,SmartAI,,1,0,1
14393,Expeditionary Priest,,1,1,12,0,37,42,57,0,1,7,0,0,1,64,64,SmartAI,,0,0,0
14559,Swift Palomino,,1,1,88,0,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
14560,Swift White Steed,,1,1,88,0,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
14561,Swift Brown Steed,,1,1,88,0,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
22985,Bradford Bridenbecker,,1,1,12,0,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
