entry,name,subname,spawn_count,area_count,area_ids,minlevel,maxlevel,faction_template_id,template_npcflag,rank,creature_type,creature_family,type_flags,template_movement_type,template_unit_flags,flags_extra,ai_name,script_name,spawn_movement_types,path_spawn_count,wander_spawn_count
103,Garrick Padfoot,NULL,1,1,59,5,5,7,0,0,7,0,0,0,0,0,SmartAI,,0,0,0
113,Stonetusk Boar,NULL,52,5,12|57|63|64|87,5,6,189,0,0,1,5,1,1,0,0,SmartAI,,1,0,52
116,Defias Bandit,NULL,47,7,12|18|62|89|92|797|798,8,9,17,0,0,7,0,0,1,0,0,SmartAI,,0|1|2,1,41
118,Prowler,NULL,83,4,12|86|88|798,9,10,38,0,0,1,1,1,1,0,0,,,1,0,83
119,Longsnout,NULL,9,1,60,10,11,189,0,0,1,5,1,1,0,0,SmartAI,,1,0,9
151,Brog Hamfist,General Supplies,1,1,87,10,10,12,384,0,7,0,0,0,512,66,,,0,0,0
152,Brother Danil,General Supplies,1,1,9,5,5,12,384,0,7,0,0,0,768,66,,,0,0,0
190,Dermot Johns,Cloth & Leather Armor Merchant,1,1,9,5,5,12,4224,0,7,0,0,0,768,66,,,0,0,0
196,Eagan Peltskinner,NULL,1,1,9,3,3,12,2,0,7,0,0,0,768,66,,,0,0,0
197,Marshal McBride,NULL,1,1,24,20,20,12,3,0,7,0,0,0,768,66,SmartAI,,0,0,0
198,Khelden Bremen,Mage Trainer,1,1,24,5,5,12,51,0,7,0,0,0,768,66,,,0,0,0
240,Marshal Dughan,NULL,1,1,87,25,25,12,2,0,7,0,0,0,512,66,,,0,0,0
241,"Remy ""Two Times""",NULL,1,1,87,5,5,12,2,0,7,0,0,0,512,66,,,0,0,0
244,Ma Stonefield,NULL,1,1,63,3,3,12,2,0,7,0,0,0,512,66,,,0,0,0
246,Auntie Bernice Stonefield,NULL,1,1,63,6,6,12,2,0,7,0,0,0,512,66,,,0,0,0
247,Billy Maclure,NULL,1,1,64,1,1,12,2,0,7,0,0,0,768,66,,,0,0,0
248,Gramma Stonefield,NULL,1,1,63,3,3,12,2,0,7,0,0,0,512,66,,,0,0,0
250,Pa Maclure,NULL,1,1,64,6,6,12,0,0,7,0,0,0,512,66,,,0,0,0
251,Maybell Maclure,NULL,1,1,64,2,2,12,2,0,7,0,0,0,512,66,SmartAI,,0,0,0
252,Tommy Joe Stonefield,NULL,1,1,63,2,2,12,2,0,7,0,0,0,512,66,,,0,0,0
253,William Pestle,NULL,1,1,87,6,6,12,2,0,7,0,0,0,512,66,SmartAI,,0,0,0
255,Gerard Tiller,NULL,1,1,64,6,6,12,2,0,7,0,0,0,512,66,,,0,0,0
257,Kobold Worker,,43,2,9|34,3,3,25,0,0,7,0,0,1,0,2,SmartAI,,0|1,0,35
258,Joshua Maclure,Vintner,1,1,64,5,5,12,128,0,7,0,0,0,512,66,,,0,0,0
261,Guard Thomas,NULL,1,1,12,30,30,12,2,0,7,0,0,0,512,66,,,0,0,0
278,Sara Timberlain,NULL,1,1,88,5,5,12,2,0,7,0,0,0,512,66,,,0,0,0
285,Murloc,NULL,35,1,18,6,7,18,0,0,7,0,0,1,32768,0,,,0|1,0,10
294,Marshal Haggard,NULL,1,1,88,20,20,12,2,0,7,0,0,0,512,66,,,0,0,0
295,Innkeeper Farley,Innkeeper,1,1,87,30,30,12,66179,0,7,0,0,0,512,66,SmartAI,,0,0,0
299,Diseased Young Wolf,,45,3,9|12|87,1,1,32,0,0,1,1,1,1,0,0,,,1,0,45
313,Theocritus,Mage of Tower Azora,1,1,91,24,24,12,2,0,7,0,0,0,512,66,,,0,0,0
327,Goldtooth,NULL,1,1,57,8,8,26,0,0,7,0,0,1,0,0,SmartAI,,0,0,0
328,Zaldimar Wefhellt,Mage Trainer,1,1,87,13,13,12,51,0,7,0,0,0,512,66,,,0,0,0
330,Princess,NULL,1,1,62,9,9,7,0,0,1,5,1,1,0,0,SmartAI,,2,1,0
375,Priestess Anetta,Priest Trainer,1,1,24,5,5,12,51,0,7,0,0,0,768,66,,,0,0,0
377,Priestess Josetta,Priest Trainer,1,1,87,13,13,12,51,0,7,0,0,0,512,66,,,0,0,0
383,Jason Mathers,Fishmonger,1,1,18,7,7,12,2,0,7,0,0,0,512,66,,,0,0,0
384,Katie Hunter,Horse Breeder,1,1,88,10,10,12,129,0,7,0,0,0,512,66,,,0,0,0
385,Horse,,1,1,88,5,5,35,0,0,8,0,0,1,0,66,,,0,0,0
390,Porcine Entourage,NULL,2,1,62,7,7,7,0,0,1,5,1,1,0,0,SmartAI,,0,0,0
395,Markus,NULL,1,1,12,1,1,12,0,0,7,0,0,1,768,66,,,0,0,0
448,Hogger,NULL,1,1,60,11,11,20,0,1,7,0,0,1,64,0,SmartAI,,1,0,1
459,Drusilla La Salle,Warlock Trainer,1,1,9,5,5,12,51,0,7,0,0,0,768,66,,,0,0,0
465,Barkeep Dobbins,Bartender,1,1,87,10,10,12,640,0,7,0,0,0,512,66,,,0,0,0
471,Mother Fang,NULL,1,1,54,10,10,22,0,4,1,3,1,1,0,0,SmartAI,,0,0,0
472,Fedfennel,NULL,4,1,86,12,12,20,0,4,7,0,0,0,0,0,SmartAI,,0|1,0,3
473,Morgan the Collector,NULL,1,1,62,10,10,17,0,0,7,0,0,0,0,0,SmartAI,,0,0,0
474,Defias Rogue Wizard,NULL,28,5,18|56|86|92|797,9,10,17,0,0,7,0,0,0,0,0,SmartAI,,0,0,0
475,Kobold Tunneler,NULL,39,2,12|57,5,6,26,0,0,7,0,0,1,0,0,SmartAI,,1|2,1,38
476,Kobold Geomancer,NULL,8,1,54,7,8,26,0,0,7,0,0,1,0,0,SmartAI,,0|1|2,2,3
478,Riverpaw Outrunner,NULL,63,2,60|86,9,10,20,0,0,7,0,0,1,0,0,SmartAI,,0|1,0,49
514,Smith Argus,Blacksmithing Trainer,1,1,87,24,24,12,83,0,7,0,0,0,512,66,,,0,0,0
524,Rockhide Boar,NULL,90,4,12|62|64|797,7,8,189,0,0,1,5,1,1,0,0,SmartAI,,1,0,90
525,Mangy Wolf,NULL,84,7,12|18|60|87|89|92|120,5,6,38,0,0,1,1,1,1,0,0,,,0|1|2,3,74
620,Chicken,,20,4,12|87|88|797,1,1,31,2,0,8,0,0,1,0,66,,npc_chicken_cluck,0|1,0,12
721,Rabbit,,94,14,9|12|34|57|59|60|62|63|64|87|88|120|797|798,1,1,31,0,0,8,0,0,1,0,66,,,1,0,94
732,Murloc Lurker,NULL,42,2,12|86,9,10,18,0,0,7,0,0,1,32768,0,SmartAI,,0|1,0,20
735,Murloc Streamrunner,NULL,21,1,18,6,7,18,0,0,7,0,0,1,32768,0,,,0|1|2,1,16
794,Matt,NULL,1,1,18,1,1,12,0,0,7,0,0,0,768,66,SmartAI,,0,0,0
795,Mark,NULL,1,1,87,1,1,12,0,0,7,0,0,0,768,66,,,2,1,0
796,Joshua,NULL,1,1,87,1,1,12,0,0,7,0,0,0,768,66,,,2,1,0
797,Bo,NULL,1,1,87,1,1,12,0,0,7,0,0,0,768,66,,,2,1,0
798,Solomon,NULL,1,1,88,1,1,12,0,0,7,0,0,1,768,66,,,1,0,1
799,Kevin,NULL,1,1,88,1,1,12,0,0,7,0,0,1,768,66,,,1,0,1
800,Kyle,NULL,1,1,88,1,1,12,0,0,7,0,0,1,768,66,,,1,0,1
801,Eric,NULL,1,1,88,1,1,12,0,0,7,0,0,0,768,66,,,1,0,1
802,Jay,NULL,1,1,88,1,1,12,0,0,7,0,0,1,768,66,,,1,0,1
804,Dana,NULL,1,1,87,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
805,Cameron,NULL,1,1,87,1,1,12,0,0,7,0,0,0,768,66,,npc_cameron,0,0,0
806,John,NULL,1,1,87,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
807,Lisa,NULL,1,1,87,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
810,Aaron,NULL,1,1,87,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
811,Jose,NULL,1,1,87,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
822,Young Forest Bear,NULL,47,12,12|18|57|60|62|64|86|88|91|120|797|798,8,9,44,0,0,1,4,1,1,0,0,,,1|2,1,46
823,Deputy Willem,NULL,1,1,9,18,18,12,2,0,7,0,0,0,768,66,,,0,0,0
844,Antonio Perelli,Traveling Salesman,1,1,12,35,35,12,128,0,7,0,0,0,512,66,SmartAI,,2,1,0
880,Erlan Drudgemoor,NULL,1,1,62,8,8,17,0,0,7,0,0,0,0,0,,,0,0,0
881,Surena Caledon,NULL,1,1,62,9,9,17,0,0,7,0,0,0,0,0,SmartAI,,0,0,0
883,Deer,,45,12,9|12|34|57|59|60|62|64|86|87|88|797,5,5,31,0,0,8,0,0,1,0,66,,,1,0,45
890,Fawn,NULL,13,5,9|12|60|87|88,1,1,31,0,0,8,0,0,1,0,66,,,0|1,0,5
894,Homer Stonefield,Fruit Seller,1,1,63,5,5,12,640,0,7,0,0,0,512,66,,,0,0,0
896,Veldan Lightfoot,Leather Armor Merchant,1,1,120,10,10,12,4224,0,7,0,0,0,512,66,,,0,0,0
906,Maximillian Crowe,Warlock Trainer,1,1,87,10,10,12,49,0,7,0,0,0,512,66,,,0,0,0
911,Llane Beshere,Warrior Trainer,1,1,24,5,5,12,51,0,7,0,0,0,768,66,,,0,0,0
913,Lyria Du Lac,Warrior Trainer,1,1,87,12,12,12,51,0,7,0,0,0,512,66,,,0,0,0
915,Jorik Kerridan,Rogue Trainer,1,1,9,5,5,12,51,0,7,0,0,0,768,66,SmartAI,,0,0,0
917,Keryn Sylvius,Rogue Trainer,1,1,87,11,11,12,51,0,7,0,0,0,512,66,SmartAI,,0,0,0
925,Brother Sammuel,Paladin Trainer,1,1,24,5,5,12,51,0,7,0,0,0,768,66,,,0,0,0
927,Brother Wilhelm,Paladin Trainer,1,1,87,11,11,12,51,0,7,0,0,0,512,66,,,0,0,0
951,Brother Paxton,Librarian,1,1,24,27,27,12,2,0,7,0,0,0,768,66,,,0,0,0
952,Brother Neals,NULL,1,1,24,50,50,12,2,0,7,0,0,0,768,66,,,0,0,0
955,Sergeant De Vries,Morale Officer,1,1,120,10,10,12,640,0,7,0,0,0,512,66,,,0,0,0
958,Dawn Brightstar,Arcane Goods,1,1,91,35,35,12,2176,0,7,0,0,0,512,66,,,0,0,0
959,Morley Eberlein,Clothier,1,1,91,10,10,12,4224,0,7,0,0,0,512,66,,,0,0,0
963,Deputy Rainer,NULL,1,1,120,10,10,12,3,0,7,0,0,0,512,66,,,0,0,0
1103,Eldrin,Tailoring Trainer,1,1,88,22,22,12,81,0,7,0,0,0,512,66,,,0,0,0
1198,Rallic Finn,Bowyer,1,1,88,18,18,12,4480,0,7,0,0,0,512,66,,,0,0,0
1213,Godric Rothgar,Armorer & Shieldcrafter,1,1,9,5,5,12,4224,0,7,0,0,0,768,66,,,0,0,0
1215,Alchemist Mallory,Alchemy Trainer,1,1,12,26,26,12,81,0,7,0,0,0,512,66,,,0,0,0
1218,Herbalist Pomeroy,Herbalism Trainer,1,1,12,10,10,12,81,0,7,0,0,0,512,66,,,0,0,0
1249,Quartermaster Hudson,Armorer & Shieldcrafter,1,1,120,10,10,12,4224,0,7,0,0,0,512,66,,,0,0,0
1250,Drake Lindgren,General & Trade Supplies,1,1,88,10,10,12,384,0,7,0,0,0,512,66,,,0,0,0
1423,Stormwind Guard,,38,5,12|60|87|120|798,22,25,11,1,0,7,0,0,0,32768,32832,,,0|2,10,0
1430,Tomas,Cook,1,1,87,10,10,12,81,0,7,0,0,0,512,66,,,0,0,0
1632,Adele Fielder,Leatherworking Trainer,1,1,87,22,22,12,81,0,7,0,0,0,512,66,,,0,0,0
1642,Northshire Guard,NULL,7,2,9|12,65,65,11,0,0,7,0,0,0,0,64,,,0|2,3,0
1645,Quartermaster Hicks,Master Weaponsmith,1,1,120,10,10,12,4224,0,7,0,0,0,512,66,,,0,0,0
1650,Terry Palin,Lumberjack,1,1,88,11,11,12,128,0,7,0,0,0,512,66,,,0,0,0
1651,Lee Brown,Fishing Trainer,1,1,18,8,8,12,81,0,7,0,0,0,512,66,,,0,0,0
1922,Gray Forest Wolf,NULL,55,5,12|18|54|86|91,7,8,38,0,0,1,1,1,1,0,0,SmartAI,,1,0,55
1933,Sheep,,17,7,12|62|63|86|87|88|92,3,3,31,0,0,8,0,0,1,0,66,,,1,0,17
1949,Servant of Azora,NULL,10,1,91,8,9,12,0,0,7,0,0,0,0,0,,,0|2,1,0
1975,Eastvale Lumberjack,NULL,3,1,88,7,8,11,0,0,7,0,0,1,0,0,,,1|2,1,2
2046,Andrew Krighton,Armorer & Shieldcrafter,1,1,87,8,8,12,4224,0,7,0,0,0,0,66,,,0,0,0
2329,Michelle Belle,Physician,1,1,87,11,11,12,81,0,7,0,0,0,512,66,,,0,0,0
2442,Cow,,46,12,12|18|54|57|60|62|63|86|88|91|120|798,5,5,190,0,0,8,0,0,1,0,64,,,1,0,46
3935,Toddrick,Butcher,1,1,87,10,10,12,640,0,7,0,0,0,512,66,,,0,0,0
3937,Kira Songshine,Traveling Baker,1,1,87,12,12,12,640,0,7,0,0,0,512,66,SmartAI,,2,1,0
4732,Randal Hunter,Riding Trainer,1,1,88,10,10,12,83,0,7,0,0,0,512,66,,,0,0,0
5403,Riding White Stallion,,2,2,9|87,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
5405,Pinto,,1,1,88,1,2,35,2,0,1,0,0,0,0,2,,,0,0,0
5406,Palomino,,1,1,87,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
5917,Clara Charles,NULL,1,1,12,1,2,12,0,0,7,0,0,0,0,2,SmartAI,,2,1,0
6093,Dead-Tooth Jack,NULL,1,1,12,11,11,17,0,0,7,0,0,1,0,0,,,0,0,0
6121,Remen Marcot,NULL,1,1,87,10,10,12,2,0,7,0,0,0,512,66,,,0,0,0
6172,Henze Faulk,NULL,1,1,56,10,10,123,2,0,7,0,0,0,768,64,SmartAI,,0,0,0
6306,Helene Peltskinner,Skinning Trainer,1,1,87,12,12,12,80,0,7,0,0,0,512,66,,,0,0,0
6367,Donni Anthania,Crazy Cat Lady,1,1,12,5,5,12,128,0,7,0,0,0,512,66,,,0,0,0
6368,Cat,NULL,9,1,12,1,1,188,0,0,8,0,0,1,0,66,,,1,0,9
6373,Dane Winslow,,1,1,9,8,8,12,0,0,7,0,0,0,768,66,,,0,0,0
6374,Cylina Darkheart,,1,1,87,11,11,12,0,0,7,0,0,0,512,66,SmartAI,,0,0,0
6491,Spirit Healer,,4,4,9|12|88|91,60,60,35,16385,0,7,0,2,1,768,66,,,0,0,0
6749,Erma,Stable Master,1,1,87,30,30,12,4194305,0,7,0,0,0,512,66,,npc_stable_master,0,0,0
6774,Falkhaan Isenstrider,NULL,1,1,9,10,10,12,2,0,7,0,0,0,768,66,,,0,0,0
6778,Melika Isenstrider,Assistant Innkeeper,1,1,87,11,11,12,2,0,7,0,0,0,512,66,,npc_innkeeper,0,0,0
6846,Defias Dockmaster,NULL,1,1,797,10,10,27,0,0,7,0,0,0,0,0,SmartAI,,2,1,0
6927,Defias Dockworker,NULL,3,1,797,8,9,17,0,0,7,0,0,1,0,0,SmartAI,,2,3,0
7381,Silver Tabby Cat,NULL,1,1,12,1,1,188,0,0,12,0,0,0,768,66,SmartAI,,1,0,1
7382,Orange Tabby Cat,NULL,1,1,12,1,1,188,0,0,12,0,0,0,768,66,SmartAI,,1,0,1
7384,Cornish Rex Cat,NULL,1,1,12,1,1,188,0,0,12,0,0,1,768,66,SmartAI,,1,0,1
7385,Bombay Cat,NULL,1,1,12,1,1,188,0,0,12,0,0,0,768,66,SmartAI,,1,0,1
9296,Milly Osworth,NULL,1,1,9,2,2,12,2,0,7,0,0,0,768,66,,,0,0,0
10445,Selina Dourman,Darkmoon Faire Information,1,1,87,30,30,1555,1,0,7,0,0,0,768,66,,,0,0,0
10616,Supervisor Raelen,NULL,1,1,88,15,15,123,2,0,7,0,0,0,0,66,SmartAI,,0,0,0
11072,Kitta Firewind,Enchanting Trainer,1,1,91,44,44,12,81,0,7,0,0,0,512,66,,,0,0,0
11260,Northshire Peasant,NULL,5,1,9,1,1,12,0,0,7,0,0,0,256,66,,,2,5,0
11328,Eastvale Peasant,NULL,5,1,88,6,7,12,0,0,7,0,0,1,0,2,,,2,5,0
11940,Merissa Stilwell,NULL,1,1,87,5,5,12,2,0,7,0,0,0,768,66,,,0,0,0
11979,Kim Bridenbecker,NULL,1,1,12,25,25,12,0,0,7,0,0,0,0,2,,,0,0,0
11994,Rob Bridenbecker,NULL,1,1,12,25,25,12,0,0,7,0,0,0,0,2,,,0,0,0
11996,Ashley Bridenbecker,NULL,1,1,12,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
12375,Chestnut Mare,,1,1,88,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
12376,Brown Horse,,1,1,88,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
12423,Guard Roberts,NULL,1,1,18,7,7,12,0,0,7,0,0,0,0,66,SmartAI,,0,0,0
13159,James Clark,NULL,1,1,88,12,12,7,0,0,7,0,0,0,32768,0,,,0,0,0
13321,Frog,,234,12,12|18|57|60|62|63|64|86|88|89|92|797,1,1,188,0,0,8,0,0,1,0,66,,,1,0,234
14388,Rogue Black Drake,NULL,3,1,12,50,52,1394,0,0,2,0,0,1,0,64,SmartAI,,1,0,3
14390,Expeditionary Mountaineer,NULL,1,1,12,36,40,57,0,1,7,0,0,1,64,0,SmartAI,,1,0,1
14393,Expeditionary Priest,NULL,1,1,12,37,42,57,0,1,7,0,0,1,64,64,SmartAI,,0,0,0
14559,Swift Palomino,,1,1,88,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
14560,Swift White Steed,,1,1,88,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
14561,Swift Brown Steed,,1,1,88,1,2,35,0,0,1,0,0,0,0,2,,,0,0,0
14822,Sayge,,1,1,87,55,55,1555,3,0,7,0,0,0,768,66,SmartAI,,0,0,0
14823,Silas Darkmoon,,1,1,87,61,61,1555,3,1,7,0,0,0,768,66,SmartAI,,0,0,0
14827,Burth,NULL,1,1,87,60,60,1555,3,0,7,0,0,0,768,66,,,0,0,0
14828,Gelvas Grimegate,Darkmoon Faire Ticket Redemption,1,1,87,25,25,1555,3,0,7,0,0,0,768,66,SmartAI,,0,0,0
14829,Yebb Neblegear,NULL,1,1,12,55,55,1555,3,0,7,0,0,0,768,66,,,0,0,0
14832,Kerri Hicks,The Strongest Woman Alive!,1,1,87,55,55,1555,3,0,7,0,0,0,768,64,SmartAI,,0,0,0
14833,Chronos,He Who Never Forgets!,1,1,12,55,55,1555,3,0,7,0,0,0,768,66,,,0,0,0
14841,Rinling,NULL,1,1,12,55,55,1555,3,0,7,0,0,0,768,66,,,0,0,0
14844,Sylannia,Darkmoon Faire Drink Vendor,1,1,87,35,35,1555,641,0,7,0,0,0,768,66,SmartAI,,0,0,0
14845,Stamp Thunderhorn,Darkmoon Faire Food Vendor,1,1,87,35,35,1555,641,0,7,0,0,0,768,66,SmartAI,,0,0,0
14846,Lhara,Darkmoon Faire Exotic Goods,1,1,87,35,35,1555,129,0,7,0,0,0,768,66,SmartAI,,0,0,0
14847,Professor Thaddeus Paleo,Darkmoon Faire Cards & Exotic Goods,1,1,87,35,35,1555,131,0,7,0,0,0,768,66,SmartAI,,0,0,0
14849,Darkmoon Faire Carnie,NULL,11,2,12|87,25,25,1555,1,0,7,0,0,0,768,66,SmartAI,,0,0,0
14860,Flik,,1,1,87,4,4,1555,129,0,7,0,0,0,768,66,SmartAI,,0,0,0
14864,Khaz Modan Ram,NULL,2,1,87,5,5,1555,0,0,1,0,0,0,768,66,,,1,0,2
14865,Felinni,NULL,1,1,87,10,10,1555,0,1,1,2,0,0,832,66,,,0,0,0
14866,Flik's Frog,NULL,1,1,87,5,5,1555,1,0,1,0,0,0,768,66,,,2,1,0
14868,Hornsley,NULL,1,1,87,8,8,1555,0,0,1,0,0,0,768,66,,,0,0,0
14869,Pygmy Cockatrice,NULL,4,2,12|87,1,1,1555,0,0,1,0,0,0,768,66,,,0|1,0,3
14871,Morja,NULL,1,1,87,12,12,1555,3,0,7,0,0,0,768,66,,,0,0,0
15218,Faire Cannon Trigger,NULL,1,1,12,60,60,114,0,0,10,0,0,0,33555200,194,,,0,0,0
15303,Maxima Blastenheimer,Darkmoon Faire Cannoneer,1,1,12,35,35,1555,1,0,7,0,0,0,768,66,,,0,0,0
15565,Elder Stormbrow,NULL,1,1,87,60,60,35,3,0,7,0,0,0,0,64,,,0,0,0
15760,Winter Reveler,NULL,2,1,87,30,40,35,1,0,7,0,0,1,32768,0,SmartAI,,0,0,0
16592,Midsummer Bonfire,,2,1,87,1,1,35,0,0,10,0,0,1,33554432,130,,,0,0,0
16781,Midsummer Celebrant,,4,1,87,40,70,35,1,0,7,0,0,1,32768,66,SmartAI,,0,0,0
17066,Ribbon Pole Debug Target,,1,1,87,1,1,35,0,0,10,0,0,1,33555200,130,,npc_midsummer_bunny_pole,0,0,0
22985,Bradford Bridenbecker,,1,1,12,1,1,12,0,0,7,0,0,0,768,66,,,0,0,0
23482,Barleybrew Apprentice,Barleybrew Brew Vendor,1,1,12,50,50,774,129,0,7,0,0,0,768,64,,,0,0,0
23507,Elwynn Pink Elekk,,22,1,12,5,5,35,0,0,1,0,0,0,0,2,SmartAI,,1,0,22
23510,Thunderbrew Apprentice,Thunderbrew Brew Vendor,1,1,12,50,50,774,129,0,7,0,0,0,768,64,,,0,0,0
23511,Gordok Brew Apprentice,Gordok Brew Vendor,1,1,12,50,50,35,129,0,7,0,0,0,0,64,,,0,0,0
23537,Headless Horseman - Fire (DND),,3,1,12,65,70,14,0,0,10,0,0,0,33554432,130,,,0,0,0
23686,Headless Horseman Flame Bunny,,1,1,87,70,70,14,0,0,10,0,0,0,33554432,130,,npc_flame_bunny,0,0,0
23712,Touring Orphan,,4,1,87,1,3,12,1,0,7,0,0,0,768,66,SmartAI,,0,0,0
24484,Brewfest Reveler,,10,1,12,50,50,775,0,0,7,0,0,0,768,66,,npc_brewfest_reveler,0,0,0
24519,Costumed Orphan Matron,,1,1,87,12,12,1732,3,0,7,0,0,0,0,66,,,0,0,0
25898,Elwynn Forest Flame Warden,,1,1,87,25,25,84,3,0,7,0,0,0,33536,64,SmartAI,,0,0,0
25962,Fire Eater,,1,1,87,40,60,774,3,0,7,0,0,0,33536,64,SmartAI,,0,0,0
26007,Arena Battlemaster,,2,1,12,70,70,35,1048577,0,7,0,0,0,768,0,,,0,0,0
26012,Arena Organizer,,1,1,9,70,70,35,262145,0,7,0,0,0,768,0,,,0,0,0
26075,Paymaster,,2,2,9|87,70,70,35,1,0,7,0,0,0,768,0,,,0,0,0
26258,[DND] Midsummer Bonfire Faction Bunny - A,,1,1,87,1,1,35,0,0,10,0,0,0,33554432,128,,,0,0,0
26307,Beastmaster,,2,2,9|87,70,70,35,1,0,7,0,0,0,768,0,,,0,0,0
26309,Weapons Vendor,,6,2,9|87,70,70,35,4224,0,7,0,0,0,768,0,,,0,0,0
26324,Druid Trainer,,2,2,9|87,70,70,35,49,0,7,0,0,0,768,0,,,0,0,0
26325,Hunter Trainer,,2,2,9|87,70,70,35,49,0,7,0,0,0,768,0,,,0,0,0
26326,Mage Trainer,,2,2,9|87,70,70,35,49,0,7,0,0,0,768,0,,,0,0,0
26327,Paladin Trainer,,2,2,9|87,70,70,35,49,0,7,0,0,0,768,0,,,0,0,0
26328,Priest Trainer,,2,2,9|87,70,70,35,49,0,7,0,0,0,768,0,,,0,0,0
26329,Rogue Trainer,,2,2,9|87,70,70,35,49,0,7,0,0,0,768,0,,,0,0,0
26330,Shaman Trainer,,2,2,9|87,70,70,35,49,0,7,0,0,0,768,0,,,0,0,0
26331,Warlock Trainer,,2,2,9|87,70,70,35,49,0,7,0,0,0,768,0,,,0,0,0
26332,Warrior Trainer,,2,2,9|87,70,70,35,49,0,7,0,0,0,768,0,,,0,0,0
26724,"[DND] TAR Pedestal - Armor, Cloth & Leather",,2,2,9|87,70,70,35,6272,0,10,0,0,0,33555200,64,,,0,0,0
26738,[DND] TAR Pedestal - Accessories,,6,2,9|87,70,70,35,6272,0,10,0,0,0,33555200,64,,,0,0,0
26739,[DND] TAR Pedestal - Enchantments,,6,2,9|87,70,70,35,6272,0,10,0,0,0,33555200,64,,,0,0,0
26740,[DND] TAR Pedestal - Gems,,6,2,9|87,70,70,35,6272,0,10,0,0,0,33555200,64,,,0,0,0
26741,[DND] TAR Pedestal - General Goods,,5,2,9|87,70,70,35,6272,0,10,0,0,0,33555200,64,,,0,0,0
26742,"[DND] TAR Pedestal - Armor, Mail & Plate",,2,2,9|87,70,70,35,6272,0,10,0,0,0,33555200,64,,,0,0,0
26743,"[DND] TAR Pedestal - Glyph, Cloth & Leather",,2,2,9|87,70,70,35,6272,0,10,0,0,0,33555200,64,,,0,0,0
26744,"[DND] TAR Pedestal - Glyph, Mail & Plate",,2,2,9|87,70,70,35,6272,0,10,0,0,0,33555200,64,,,0,0,0
