spawn_id,entry,name,subname,map_id,zone_id,area_id,position_x,position_y,position_z,orientation,spawntimesecs,wander_distance,spawn_movement_type,spawn_npcflag,spawn_unit_flags,spawn_dynamicflags,minlevel,maxlevel,faction_template_id,template_npcflag,rank,creature_type,creature_family,type_flags,template_movement_type,template_unit_flags,flags_extra,ai_name,script_name,path_id,template_spawn_count
52415,15303,Maxima Blastenheimer,Darkmoon Faire Cannoneer,0,12,12,-9568.32,-7.84619,63.0966,1.79769,300,0,0,0,0,0,35,35,1555,1,0,7,0,0,0,768,66,,,NULL,1
52416,14833,Chronos,He Who Never Forgets!,0,12,12,-9579.25,21.7913,60.7461,5.05203,300,0,0,0,0,0,55,55,1555,3,0,7,0,0,0,768,66,,,NULL,1
53941,24484,Brewfest Reveler,,0,12,12,-9145.26,339.64,90.6757,0.052739,300,0,0,0,0,0,50,50,775,0,0,7,0,0,0,768,66,,npc_brewfest_reveler,0,10
53942,14869,Pygmy Cockatrice,NULL,0,12,87,-9554.05,125.139,59.0065,1.47803,300,5,1,0,0,0,1,1,1555,0,0,1,0,0,0,768,66,,,NULL,4
53996,14388,Rogue Black Drake,NULL,0,12,12,-8217,-499,197.379,2.145,300,5,1,0,0,0,50,52,1394,0,0,2,0,0,1,0,64,SmartAI,,NULL,3
53997,14388,Rogue Black Drake,NULL,0,12,12,-8205,-483,193.823,2.678,300,5,1,0,0,0,50,52,1394,0,0,2,0,0,1,0,64,SmartAI,,NULL,3
53998,14388,Rogue Black Drake,NULL,0,12,12,-8184,-577,200.644,4.471,300,5,1,0,0,0,50,52,1394,0,0,2,0,0,1,0,64,SmartAI,,NULL,3
54000,14390,Expeditionary Mountaineer,NULL,0,12,12,-8208,-485,193.739,5.354,300,5,1,0,0,0,36,40,57,0,1,7,0,0,1,64,0,SmartAI,,NULL,1
54003,14393,Expeditionary Priest,NULL,0,12,12,-8177,-594,200.167,0.811,300,0,0,0,0,0,37,42,57,0,1,7,0,0,1,64,64,SmartAI,,NULL,1
56323,14868,Hornsley,NULL,0,12,87,-9538.58,133.231,58.9648,4.03171,300,0,0,0,0,0,8,8,1555,0,0,1,0,0,0,768,66,,,NULL,1
56324,14871,Morja,NULL,0,12,87,-9566.38,31.1655,61.4444,1.58992,300,0,0,0,0,0,12,12,1555,3,0,7,0,0,0,768,66,,,NULL,1
56326,14869,Pygmy Cockatrice,NULL,0,12,87,-9549.82,112.997,59.0065,3.32908,300,5,1,0,0,0,1,1,1555,0,0,1,0,0,0,768,66,,,NULL,4
56342,14829,Yebb Neblegear,NULL,0,12,12,-9548.9,141.163,58.9648,4.83456,300,0,0,0,0,0,55,55,1555,3,0,7,0,0,0,768,66,,,NULL,1
56497,14846,Lhara,Darkmoon Faire Exotic Goods,0,12,87,-9557.49,105.464,58.9648,4.64258,300,0,0,0,0,0,35,35,1555,129,0,7,0,0,0,768,66,SmartAI,,NULL,1
56498,14828,Gelvas Grimegate,Darkmoon Faire Ticket Redemption,0,12,87,-9533.65,95.1698,58.9648,4.03171,300,0,0,0,0,0,25,25,1555,3,0,7,0,0,0,768,66,SmartAI,,NULL,1
56499,10445,Selina Dourman,Darkmoon Faire Information,0,12,87,-9541.73,87.4378,59.3029,6.23082,300,0,0,0,0,0,30,30,1555,1,0,7,0,0,0,768,66,,,NULL,1
56600,14823,Silas Darkmoon,,0,12,87,-9554.4,81.7822,59.0065,1.08224,300,0,0,0,0,0,61,61,1555,3,1,7,0,0,0,768,66,SmartAI,,NULL,1
56611,14827,Burth,NULL,0,12,87,-9558.14,78.5432,59.0065,0.488762,300,0,0,0,0,0,60,60,1555,3,0,7,0,0,0,768,66,,,NULL,1
56612,14864,Khaz Modan Ram,NULL,0,12,87,-9542.36,114.763,59.1315,3.3116,300,5,1,0,0,0,5,5,1555,0,0,1,0,0,0,768,66,,,NULL,2
56613,14849,Darkmoon Faire Carnie,NULL,0,12,12,-9571.82,90.374,59.0065,0.978225,300,0,0,0,0,0,25,25,1555,1,0,7,0,0,0,768,66,SmartAI,,0,11
56614,14841,Rinling,NULL,0,12,12,-9576.4,87.7237,58.9648,6.23082,300,0,0,0,0,0,55,55,1555,3,0,7,0,0,0,768,66,,,NULL,1
56615,14822,Sayge,,0,12,87,-9536.62,73.2432,58.9648,1.90241,300,0,0,0,0,0,55,55,1555,3,0,7,0,0,0,768,66,SmartAI,,NULL,1
56617,14847,Professor Thaddeus Paleo,Darkmoon Faire Cards & Exotic Goods,0,12,87,-9560.98,103.642,58.9648,5.5676,300,0,0,0,0,0,35,35,1555,131,0,7,0,0,0,768,66,SmartAI,,NULL,1
56618,14869,Pygmy Cockatrice,NULL,0,12,87,-9540.22,123.264,59.0065,5.01385,300,0,0,0,0,0,1,1,1555,0,0,1,0,0,0,768,66,,,NULL,4
56621,14845,Stamp Thunderhorn,Darkmoon Faire Food Vendor,0,12,87,-9564.5,72.2799,59.1869,0.663225,300,0,0,0,0,0,35,35,1555,641,0,7,0,0,0,768,66,SmartAI,,NULL,1
56623,14844,Sylannia,Darkmoon Faire Drink Vendor,0,12,87,-9561.12,69.9691,59.2053,1.01229,300,0,0,0,0,0,35,35,1555,641,0,7,0,0,0,768,66,SmartAI,,NULL,1
56624,14866,Flik's Frog,NULL,0,12,87,-9502.26,77.9182,57.5324,4.62012,300,0,2,0,0,0,5,5,1555,1,0,1,0,0,0,768,66,,,4529920,1
56625,14860,Flik,,0,12,87,-9502.26,77.9182,57.5324,2.40195,300,0,0,0,0,0,4,4,1555,129,0,7,0,0,0,768,66,SmartAI,,NULL,1
56680,14849,Darkmoon Faire Carnie,NULL,0,12,87,-9544.69,73.6216,59.0065,0.573501,300,0,0,0,0,0,25,25,1555,1,0,7,0,0,0,768,66,SmartAI,,0,11
57163,14869,Pygmy Cockatrice,NULL,0,12,12,-9547.29,137.246,58.9143,5.09003,300,5,1,0,0,0,1,1,1555,0,0,1,0,0,0,768,66,,,NULL,4
57168,14864,Khaz Modan Ram,NULL,0,12,87,-9545.21,130.871,59.0065,4.36626,300,5,1,0,0,0,5,5,1555,0,0,1,0,0,0,768,66,,,NULL,2
57441,14865,Felinni,NULL,0,12,87,-9555.53,115.845,58.9683,5.74213,300,0,0,0,0,0,10,10,1555,0,1,1,2,0,0,832,66,,,NULL,1
61987,14832,Kerri Hicks,The Strongest Woman Alive!,0,12,87,-9558.18,130.175,58.9648,5.70723,300,0,0,0,0,0,55,55,1555,3,0,7,0,0,0,768,64,SmartAI,,NULL,1
70557,15565,Elder Stormbrow,NULL,0,12,87,-9391.43,142.467,61.1422,3.02569,300,0,0,0,0,0,60,60,35,3,0,7,0,0,0,0,64,,,NULL,1
79601,46,Murloc Forager,,0,12,62,-9915.98,-846.381,20.0111,4.87445,300,5,1,0,0,0,9,10,18,0,0,7,0,0,1,32768,0,SmartAI,,NULL,58
79602,46,Murloc Forager,,0,12,62,-9893.45,-747.853,20.6947,3.57606,300,5,1,0,0,0,9,10,18,0,0,7,0,0,1,32768,0,SmartAI,,NULL,58
79603,46,Murloc Forager,,0,12,62,-9860.71,-711.289,29.0377,6.05668,300,5,1,0,0,0,9,10,18,0,0,7,0,0,1,32768,0,SmartAI,,NULL,58
79604,721,Rabbit,,0,12,12,-9774.17,-544.481,34.3062,2.44885,300,15,1,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,94
79605,524,Rockhide Boar,NULL,0,12,12,-9751.72,-603.903,39.7345,4.76923,300,15,1,0,0,0,7,8,189,0,0,1,5,1,1,0,0,SmartAI,,NULL,90
79606,524,Rockhide Boar,NULL,0,12,12,-9787.24,-648.918,36.1254,1.70107,300,15,1,0,0,0,7,8,189,0,0,1,5,1,1,0,0,SmartAI,,NULL,90
79607,2442,Cow,,0,12,12,-9751.14,-643.177,42.1577,5.78197,300,15,1,0,0,0,5,5,190,0,0,8,0,0,1,0,64,,,NULL,46
79608,46,Murloc Forager,,0,12,12,-9804.3,-612.081,31.5397,0.363205,300,5,1,0,0,0,9,10,18,0,0,7,0,0,1,32768,0,SmartAI,,NULL,58
79610,524,Rockhide Boar,NULL,0,12,12,-9823,-565.919,27.2956,1.95566,300,15,1,0,0,0,7,8,189,0,0,1,5,1,1,0,0,SmartAI,,NULL,90
79611,524,Rockhide Boar,NULL,0,12,12,-9748.33,-554.43,38.2072,0.345816,300,15,1,0,0,0,7,8,189,0,0,1,5,1,1,0,0,SmartAI,,NULL,90
79612,524,Rockhide Boar,NULL,0,12,12,-9785.26,-568.395,33.5413,1.97565,300,15,1,0,0,0,7,8,189,0,0,1,5,1,1,0,0,SmartAI,,NULL,90
79613,721,Rabbit,,0,12,12,-9753.6,-650.283,41.7763,1.42828,300,15,1,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,94
79615,524,Rockhide Boar,NULL,0,12,12,-9684.52,-550.147,49.0968,1.22744,300,15,1,0,0,0,7,8,189,0,0,1,5,1,1,0,0,SmartAI,,NULL,90
79616,524,Rockhide Boar,NULL,0,12,12,-9664.94,-522.64,51.4993,3.76278,300,15,1,0,0,0,7,8,189,0,0,1,5,1,1,0,0,SmartAI,,NULL,90
79617,524,Rockhide Boar,NULL,0,12,12,-9670.05,-496.888,51.4968,0.165244,300,15,1,0,0,0,7,8,189,0,0,1,5,1,1,0,0,SmartAI,,NULL,90
79618,524,Rockhide Boar,NULL,0,12,12,-9623.76,-490.877,58.2497,4.21573,300,15,1,0,0,0,7,8,189,0,0,1,5,1,1,0,0,SmartAI,,NULL,90
79619,285,Murloc,NULL,0,12,18,-9473.71,-431.412,59.8586,4.67748,300,0,0,0,0,0,6,7,18,0,0,7,0,0,1,32768,0,,,NULL,35
79620,285,Murloc,NULL,0,12,18,-9479.72,-430.688,58.7018,5.53269,300,0,0,0,0,0,6,7,18,0,0,7,0,0,1,32768,0,,,NULL,35
79621,285,Murloc,NULL,0,12,18,-9484.21,-423.217,59.9518,1.26246,300,0,0,0,0,0,6,7,18,0,0,7,0,0,1,32768,0,,,NULL,35
79622,285,Murloc,NULL,0,12,18,-9500.72,-434.34,56.3074,2.20692,300,0,0,0,0,0,6,7,18,0,0,7,0,0,1,32768,0,,,NULL,35
79623,285,Murloc,NULL,0,12,18,-9485.44,-409.706,59.806,2.51726,300,0,0,0,0,0,6,7,18,0,0,7,0,0,1,32768,0,,,NULL,35
79624,285,Murloc,NULL,0,12,18,-9487.15,-437.875,58.9326,4.38078,300,0,0,0,0,0,6,7,18,0,0,7,0,0,1,32768,0,,,NULL,35
79625,735,Murloc Streamrunner,NULL,0,12,18,-9547.14,-449.578,60.4493,2.82642,300,5,1,0,0,0,6,7,18,0,0,7,0,0,1,32768,0,,,NULL,21
79627,285,Murloc,NULL,0,12,18,-9484.85,-328.59,54.8925,0.418879,300,0,0,0,0,0,6,7,18,0,0,7,0,0,1,32768,0,,,NULL,35
79628,6491,Spirit Healer,,0,12,12,-9341,165.021,61.641,1.096,300,0,0,0,0,0,60,60,35,16385,0,7,0,2,1,768,66,,,NULL,4
79629,285,Murloc,NULL,0,12,18,-9456.27,-331.956,55.4854,2.46553,300,5,1,0,0,0,6,7,18,0,0,7,0,0,1,32768,0,,,NULL,35
79630,735,Murloc Streamrunner,NULL,0,12,18,-9411.46,-324.322,58.8521,4.71239,300,0,0,0,0,0,6,7,18,0,0,7,0,0,1,32768,0,,,NULL,21
79632,735,Murloc Streamrunner,NULL,0,12,18,-9445.9,-287.94,57.978,3.96317,300,0,0,0,0,0,6,7,18,0,0,7,0,0,1,32768,0,,,NULL,21
79634,285,Murloc,NULL,0,12,18,-9476.74,-194.136,56.734,0.994268,300,0,0,0,0,0,6,7,18,0,0,7,0,0,1,32768,0,,,NULL,35
79635,285,Murloc,NULL,0,12,18,-9472.11,-220.709,56.3165,4.6669,300,0,0,0,0,0,6,7,18,0,0,7,0,0,1,32768,0,,,NULL,35
79637,6306,Helene Peltskinner,Skinning Trainer,0,12,87,-9380.23,-69.5295,64.5206,4.55531,300,0,0,0,0,0,12,12,12,80,0,7,0,0,0,512,66,,,NULL,1
79638,805,Cameron,NULL,0,12,87,-9368.42,-66.4754,69.202,3.14159,300,0,0,0,0,0,1,1,12,0,0,7,0,0,0,768,66,,npc_cameron,NULL,1
79639,806,John,NULL,0,12,87,-9377.48,-67.8297,69.202,0.296706,300,0,0,0,0,0,1,1,12,0,0,7,0,0,0,768,66,,,NULL,1
79640,804,Dana,NULL,0,12,87,-9372.38,-65.4995,69.202,4.20624,300,0,0,0,0,0,1,1,12,0,0,7,0,0,0,768,66,,,NULL,1
79641,811,Jose,NULL,0,12,87,-9371.01,-71.2081,69.202,1.93731,300,0,0,0,0,0,1,1,12,0,0,7,0,0,0,768,66,,,NULL,1
79642,807,Lisa,NULL,0,12,87,-9373.52,-67.7177,69.202,1.11701,300,0,0,0,0,0,1,1,12,0,0,7,0,0,0,768,66,,,NULL,1
79643,810,Aaron,NULL,0,12,87,-9374.94,-62.5165,69.202,5.20108,300,0,0,0,0,0,1,1,12,0,0,7,0,0,0,768,66,,,NULL,1
79644,721,Rabbit,,0,12,87,-9455.02,-29.2894,59.511,3.34436,300,15,1,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,94
79645,917,Keryn Sylvius,Rogue Trainer,0,12,87,-9465.79,12.6454,63.9038,1.09956,300,0,0,0,0,0,11,11,12,51,0,7,0,0,0,512,66,SmartAI,,NULL,1
79646,2329,Michelle Belle,Physician,0,12,87,-9456.81,29.361,63.9038,2.96706,300,0,0,0,0,0,11,11,12,81,0,7,0,0,0,512,66,,,NULL,1
79647,465,Barkeep Dobbins,Bartender,0,12,87,-9459.98,8.41135,57.1459,1.46608,300,0,0,0,0,0,10,10,12,640,0,7,0,0,0,512,66,,,NULL,1
79648,299,Diseased Young Wolf,,0,12,87,-9393.36,52.5792,59.7772,3.15888,300,15,1,0,0,0,1,1,32,0,0,1,1,1,1,0,0,,,NULL,45
79649,721,Rabbit,,0,12,12,-9348.23,121.802,63.349,5.73038,300,15,1,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,94
79651,299,Diseased Young Wolf,,0,12,12,-9262.65,87.3409,71.9365,5.75499,300,15,1,0,0,0,1,1,32,0,0,1,1,1,1,0,0,,,NULL,45
79652,883,Deer,,0,12,12,-9255.45,128.083,70.8557,4.96116,300,15,1,0,0,0,5,5,31,0,0,8,0,0,1,0,66,,,NULL,45
79653,94,Defias Cutpurse,NULL,0,12,12,-9190.44,187.539,73.7134,3.28073,300,5,1,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79864,68,Stormwind City Guard,NULL,0,12,12,-9095.62,422.026,92.0445,4.04916,300,0,0,0,0,0,75,75,11,1,0,7,0,0,0,32768,98368,SmartAI,,NULL,3
79865,68,Stormwind City Guard,NULL,0,12,12,-9085.59,408.559,92.1695,3.47321,300,0,0,0,0,0,75,75,11,1,0,7,0,0,0,32768,98368,SmartAI,,NULL,3
79866,721,Rabbit,,0,12,12,-9076.24,380.184,92.6135,1.75777,300,15,1,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,94
79867,721,Rabbit,,0,12,12,-9145.99,417.829,93.9833,1.5708,300,15,1,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,94
79868,890,Fawn,NULL,0,12,12,-9181.07,414.55,89.6092,4.7957,300,0,0,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,13
79869,883,Deer,,0,12,12,-9188.38,420.498,90.8592,2.98929,300,15,1,0,0,0,5,5,31,0,0,8,0,0,1,0,66,,,NULL,45
79870,721,Rabbit,,0,12,12,-9172.34,469.566,104.185,0.505691,300,15,1,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,94
79871,2442,Cow,,0,12,12,-9189.98,430.771,92.4673,3.3122,300,15,1,0,0,0,5,5,190,0,0,8,0,0,1,0,64,,,NULL,46
79872,721,Rabbit,,0,12,12,-9139.18,355.357,91.7032,4.10822,300,15,1,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,94
79873,721,Rabbit,,0,12,12,-9214.43,344.521,73.7192,2.74268,300,15,1,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,94
79874,883,Deer,,0,12,12,-9205.02,340.429,73.3442,5.27145,300,15,1,0,0,0,5,5,31,0,0,8,0,0,1,0,66,,,NULL,45
79875,1423,Stormwind Guard,,0,12,12,-9181.74,310.279,78.9794,1.58252,300,0,0,0,0,0,22,25,11,1,0,7,0,0,0,32768,32832,,,0,38
79877,94,Defias Cutpurse,NULL,0,12,12,-9244.15,235.741,71.5773,3.70428,300,5,1,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79878,883,Deer,,0,12,12,-9234.25,254.141,72.9114,2.8935,300,15,1,0,0,0,5,5,31,0,0,8,0,0,1,0,66,,,NULL,45
79879,890,Fawn,NULL,0,12,12,-9231.44,253.441,72.8208,2.89989,300,10,1,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,13
79880,2442,Cow,,0,12,12,-9225.26,259.278,72.6654,4.66506,300,15,1,0,0,0,5,5,190,0,0,8,0,0,1,0,64,,,NULL,46
79881,5917,Clara Charles,NULL,0,12,12,-9266.12,354.4,76.6919,2.2945,300,0,2,0,0,0,1,2,12,0,0,7,0,0,0,0,2,SmartAI,,6390480,1
79882,721,Rabbit,,0,12,12,-9213.91,273.681,74.2265,4.57673,300,15,1,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,94
79883,30,Forest Spider,NULL,0,12,12,-9233.27,271.076,72.78,3.25266,300,15,1,0,0,0,5,6,22,0,0,1,3,1,1,0,0,SmartAI,,NULL,16
79884,721,Rabbit,,0,12,12,-9215.63,192.999,69.4072,2.10084,300,15,1,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,94
79885,94,Defias Cutpurse,NULL,0,12,12,-9188.66,161.699,72.6103,4.88241,300,5,1,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79886,721,Rabbit,,0,12,12,-9221.01,106.726,73.9549,4.82008,300,15,1,0,0,0,1,1,31,0,0,8,0,0,1,0,66,,,NULL,94
79887,94,Defias Cutpurse,NULL,0,12,12,-9174.65,97.281,76.4627,1.23191,300,5,1,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79888,94,Defias Cutpurse,NULL,0,12,12,-9162.37,84.6315,77.0762,1.91986,300,0,0,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79889,94,Defias Cutpurse,NULL,0,12,12,-9158.63,88.1075,76.4952,3.05433,300,0,0,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79890,94,Defias Cutpurse,NULL,0,12,12,-9162.57,94.5477,76.3557,3.78736,300,0,0,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79891,94,Defias Cutpurse,NULL,0,12,12,-9185.47,118.826,74.5898,4.68115,300,5,1,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79892,94,Defias Cutpurse,NULL,0,12,12,-9217.67,120.189,73.5781,4.78424,300,5,1,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79893,94,Defias Cutpurse,NULL,0,12,12,-9237.66,40.2561,73.3568,3.72285,300,5,1,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79894,299,Diseased Young Wolf,,0,12,12,-9221.41,46.3592,74.7942,6.15518,300,15,1,0,0,0,1,1,32,0,0,1,1,1,1,0,0,,,NULL,45
79896,94,Defias Cutpurse,NULL,0,12,12,-9143.14,58.0315,77.4185,5.11831,300,5,1,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79897,94,Defias Cutpurse,NULL,0,12,12,-9178.42,37.4651,77.9614,4.87576,300,5,1,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79898,94,Defias Cutpurse,NULL,0,12,12,-9197.86,73.8136,77.4574,4.42985,300,5,1,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79900,299,Diseased Young Wolf,,0,12,12,-9222.11,-39.7406,73.8181,1.76359,300,15,1,0,0,0,1,1,32,0,0,1,1,1,1,0,0,,,NULL,45
79901,94,Defias Cutpurse,NULL,0,12,12,-9251.36,-11.6955,73.4498,4.86727,300,5,1,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79902,6368,Cat,NULL,0,12,12,-9177.55,-10.9676,79.1202,0.208455,300,8,1,0,0,0,1,1,188,0,0,8,0,0,1,0,66,,,NULL,9
79903,6368,Cat,NULL,0,12,12,-9185.84,-6.26367,77.9952,3.85509,300,8,1,0,0,0,1,1,188,0,0,8,0,0,1,0,66,,,NULL,9
79904,6368,Cat,NULL,0,12,12,-9164.44,-6.83258,79.4985,3.37061,300,8,1,0,0,0,1,1,188,0,0,8,0,0,1,0,66,,,NULL,9
79905,7385,Bombay Cat,NULL,0,12,12,-9173.6,-0.252902,80.3948,1.99512,300,3,1,0,0,0,1,1,188,0,0,12,0,0,0,768,66,SmartAI,,NULL,1
79906,6368,Cat,NULL,0,12,12,-9159.23,-1.84042,79.3735,6.06882,300,8,1,0,0,0,1,1,188,0,0,8,0,0,1,0,66,,,NULL,9
79907,94,Defias Cutpurse,NULL,0,12,12,-9213.33,19.113,77.096,0.692428,300,5,1,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79908,7381,Silver Tabby Cat,NULL,0,12,12,-9173.94,1.30174,80.3945,6.09201,300,3,1,0,0,0,1,1,188,0,0,12,0,0,0,768,66,SmartAI,,NULL,1
79909,7382,Orange Tabby Cat,NULL,0,12,12,-9170.25,2.46752,80.4049,1.56278,300,3,1,0,0,0,1,1,188,0,0,12,0,0,0,768,66,SmartAI,,NULL,1
79910,7384,Cornish Rex Cat,NULL,0,12,12,-9175.33,3.87259,80.3912,4.33778,300,3,1,0,0,0,1,1,188,0,0,12,0,0,1,768,66,SmartAI,,0,1
79911,6368,Cat,NULL,0,12,12,-9180.5,13.5264,79.2606,5.98203,300,8,1,0,0,0,1,1,188,0,0,8,0,0,1,0,66,,,NULL,9
79912,6367,Donni Anthania,Crazy Cat Lady,0,12,12,-9176.5,0.704102,80.4761,5.79449,300,0,0,0,0,0,5,5,12,128,0,7,0,0,0,512,66,,,NULL,1
79913,6368,Cat,NULL,0,12,12,-9188.4,5.30065,78.1142,1.12691,300,8,1,0,0,0,1,1,188,0,0,8,0,0,1,0,66,,,NULL,9
79914,6368,Cat,NULL,0,12,12,-9156.63,15.9581,78.5701,1.64355,300,8,1,0,0,0,1,1,188,0,0,8,0,0,1,0,66,,,NULL,9
79915,6368,Cat,NULL,0,12,12,-9163.13,7.73827,79.0701,3.57267,300,8,1,0,0,0,1,1,188,0,0,8,0,0,1,0,66,,,NULL,9
79916,6368,Cat,NULL,0,12,12,-9167.8,17.7601,78.9207,4.27481,300,8,1,0,0,0,1,1,188,0,0,8,0,0,1,0,66,,,NULL,9
79917,94,Defias Cutpurse,NULL,0,12,12,-9120.66,38.1426,82.754,5.63773,300,5,1,0,0,0,5,6,17,0,0,7,0,0,1,0,0,SmartAI,,NULL,40
79918,2442,Cow,,0,12,12,-9167.85,13.3317,79.0457,3.00682,300,3,1,0,0,0,5,5,190,0,0,8,0,0,1,0,64,,,NULL,46
