"name";"permission";"help"
"bindsight";"493";"Syntax: .bindsight

Binds vision to the selected unit indefinitely. Cannot be used while currently possessing a target."
"cast back";"268";"Syntax: .cast back #spellid [triggered]
  Selected target will cast #spellid to your character. If 'trigered' or part provided then spell casted with triggered flag."
"cast dist";"269";"Syntax: .cast dist #spellid [#dist [triggered]]
  You will cast spell to pint at distance #dist. If 'trigered' or part provided then spell casted with triggered flag. Not all spells can be casted as area spells."
"cast self";"270";"Syntax: .cast self #spellid [triggered]
Cast #spellid by target at target itself. If 'trigered' or part provided then spell casted with triggered flag."
"cast target";"271";"Syntax: .cast target #spellid [triggered]
  Selected target will cast #spellid to his victim. If 'trigered' or part provided then spell casted with triggered flag."
"cast";"267";"Syntax: .cast #spellid [triggered]
  Cast #spellid to selected target. If no target selected cast to self. If 'trigered' or part provided then spell casted with triggered flag."
"character customize";"274";"Syntax: .character customize [$name]

Mark selected in game or by $name in command character for customize at next login."
"character erase";"282";"Syntax: .character erase $name

Delete character $name. Character finally deleted in case any deleting options."
"character level";"283";"Syntax: .character level [$playername] [#level]

Set the level of character with $playername (or the selected if not name provided) by #numberoflevels Or +1 if no #numberoflevels provided). If #numberoflevels is omitted, the level will be increase by 1. If #numberoflevels is 0, the same level will be restarted. If no character is selected and name not provided, increase your level. Command can be used for offline character. All stats and dependent values recalculated. At level decrease talents can be reset if need. Also at level decrease equipped items with greater level requirement can be lost."
"character rename";"284";"Syntax: .character rename [$name] [$newName] 

Mark selected in game or by $name in command character for rename at next login.

If $newName then the player will be forced rename."
"character reputation";"285";"Syntax: .character reputation [$player_name]

Show reputation information for selected player or player find by $player_name."
"combatstop";"494";"Syntax: .combatstop [$playername]
Stop combat for selected character. If selected non-player then command applied to self. If $playername provided then attempt applied to online player $playername."
"cometome";"495";"Syntax: .cometome
Make selected creature come to your current location (new position not saved to DB)."
"commands";"496";"Syntax: .commands

Display a list of available commands for your account level."
"cooldown";"497";"Syntax: .cooldown [#spell_id]

Remove all (if spell_id not provided) or #spel_id spell cooldown from selected character or their pet or you (if no selection)."
"damage";"498";"Syntax: .damage $damage_amount [$school [$spellid]]

Apply $damage to target. If not $school and $spellid provided then this flat clean melee damage without any modifiers. If $school provided then damage modified by armor reduction (if school physical), and target absorbing modifiers and result applied as melee damage to target. If spell provided then damage modified and applied as spell damage. $spellid can be shift-link."
"debug arena";"303";"Syntax: .debug arena

Toggle debug mode for arenas. In debug mode GM can start arena with single player."
"debug bg";"304";"Syntax: .debug bg

Toggle debug mode for battlegrounds. In debug mode GM can start battleground with single player."
"debug play cinematic";"316";"Syntax: .debug play cinematic #cinematicid

Play cinematic #cinematicid for you. You stay at place while your mind fly.
"
"debug play movie";"317";"Syntax: .debug play movie #movieid

Play movie #movieid for you."
"debug play sound";"318";"Syntax: .debug play sound #soundid

Play sound with #soundid.
Sound will be play only for you. Other players do not hear this.
Warning: client may have more 5000 sounds..."
"debug";"300";"Syntax: .debug $subcommand
Type .debug to see the list of possible subcommands or .help debug $subcommand to see info on subcommands"
"demorph";"543";"Syntax: .demorph

Demorph the selected player."
"die";"500";"Syntax: .die

Kill the selected player. If no player is selected, it will kill you."
"dismount";"501";"Syntax: .dismount

Dismount you, if you are mounted."
"distance";"502";"Syntax: .distance

Display the distance from your character to the selected creature."
"event activelist";"368";"Syntax: .event activelist
Show list of currently active events."
"event start";"369";"Syntax: .event start #event_id
Start event #event_id. Set start time for event to current moment (change not saved in DB)."
"event stop";"370";"Syntax: .event stop #event_id
Stop event #event_id. Set start time for event to time in past that make current moment is event stop time (change not saved in DB)."
"event info";"367";"Syntax: .event info #event_id
Show details about event with #event_id."
"cheat cooldown";"293";"Syntax: .cheat cooldown [on/off]
Enables or disables your character's spell cooldowns."
"cheat power";"296";"Syntax: .cheat power [on/off]
Enables or disables your character's spell cost (e.g mana)."
"freeze";"504";"Syntax: .freeze [#player] [#duration]
Freezes #player for #duration (seconds)
Freezes the selected player if no arguments are given.
Default duration: GM.FreezeAuraDuration (worldserver.conf)"
"gm chat";"372";"Syntax: .gm chat [on/off]

Enable or disable chat GM MODE (show gm badge in messages) or show current state of on/off not provided."
"gm fly";"373";"Syntax: .gm fly [on/off]
Enable/disable gm fly mode."
"gm ingame";"374";"Syntax: .gm ingame

Display a list of available in game Game Masters."
"gm list";"375";"Syntax: .gm list

Display a list of all Game Masters accounts and security levels."
"gm visible";"376";"Syntax: .gm visible on/off

Output current visibility state or make GM visible(on) and invisible(off) for other players."
"gm";"371";"Syntax: .gm [on/off]

Enable or Disable in game GM MODE or show current state of on/off not provided."
"gmannounce";"466";"Syntax: .gmannounce $announcement
Send an announcement to online Gamemasters."
"gmnameannounce";"467";"Syntax: .gmnameannounce $announcement.
Send an announcement to all online GM's, displaying the name of the sender."
"gmnotify";"468";"Syntax: .gmnotify $notification
Displays a notification on the screen of all online GM's."
"go creature";"378";"Syntax: .go creature #creature_guid
Teleport your character to creature with guid #creature_guid.
.gocreature #creature_name
Teleport your character to creature with this name.
.gocreature id #creature_id
Teleport your character to a creature that was spawned from the template with this entry.
*If* more than one creature is found, then you are teleported to the first that is found inside the database."
"go graveyard";"379";"Syntax: .go graveyard #graveyardId
 Teleport to graveyard with the graveyardId specified."
"go grid";"380";"Syntax: .go grid #gridX #gridY [#mapId]

Teleport the gm to center of grid with provided indexes at map #mapId (or current map if it not provided)."
"go object";"381";"Syntax: .go object #object_guid
Teleport your character to gameobject with guid #object_guid"
"go taxinode";"382";"Syntax: .go taxinode #taxinode

Teleport player to taxinode coordinates. You can look up zone using .lookup taxinode $namepart"
"go trigger";"384";"Syntax: .go trigger #trigger_id

Teleport your character to areatrigger with id #trigger_id. Character will be teleported to trigger target if selected areatrigger is telporting trigger."
"go xyz";"385";"Syntax: .go xyz #x #y [#z [#mapid [#orientation]]]

Teleport player to point with (#x,#y,#z) coordinates at map #mapid with orientation #orientation. If z is not provided, ground/water level will be used. If mapid is not provided, the current map will be used. If #orientation is not provided, the current orientation will be used."
"go zonexy";"386";"Syntax: .go zonexy #x #y [#zone]

Teleport player to point with (#x,#y) client coordinates at ground(water) level in zone #zoneid or current zone if #zoneid not provided. You can look up zone using .lookup area $namepart"
"go offset";"852";"Syntax: .go offset [x[ y[ z[ o]]]]
Teleports the player by given offset from his current coordinates."
"gobject activate";"388";"Syntax: .gobject activate #guid

Activates an object like a door or a button."
"gobject add";"389";"Syntax: .gobject add #id <spawntimeSecs>

Add a game object from game object templates to the world at your current location using the #id.
spawntimesecs sets the spawntime, it is optional.

Note: this is a copy of .gameobject."
"gobject delete";"391";"Syntax: .gobject delete #go_guid
Delete gameobject with guid #go_guid."
"gobject move";"393";"Syntax: .gobject move #goguid [#x #y #z]

Move gameobject #goguid to character coordinates (or to (#x,#y,#z) coordinates if its provide)."
"gobject near";"394";"Syntax: .gobject near  [#distance]

Output gameobjects at distance #distance from player. Output gameobject guids and coordinates sorted by distance from character. If #distance not provided use 10 as default value."
"gobject add temp";"390";"Adds a temporary gameobject that is not saved to DB."
"gobject target";"398";"Syntax: .gobject target [#go_id|#go_name_part]

Locate and show position nearest gameobject. If #go_id or #go_name_part provide then locate and show position of nearest gameobject with gameobject template id #go_id or name included #go_name_part as part."
"gobject set phase";"396";"Syntax: .gobject set phase #guid #phasemask

Gameobject with DB guid #guid phasemask changed to #phasemask with related world vision update for players. Gameobject state saved to DB and persistent."
"gobject turn";"399";"Syntax: .gobject turn [guid|link] [oz [oy [ox]]]

Set the orientation of the gameobject to player's orientation or the given orientation."
"gobject";"387";"Syntax: .gobject $subcommand
Type .gobject to see the list of possible subcommands or .help gobject $subcommand to see info on subcommands"
"summon";"528";"Syntax: .summon [$charactername]

Teleport the given character to you. Character can be offline."
"gps";"505";"Syntax: .gps [$name|$shift-link]

Display the position information for a selected character or creature (also if player name $name provided then for named player, or if creature/gameobject shift-link provided then pointed creature/gameobject if it loaded). Position information includes X, Y, Z, and orientation, map Id and zone Id"
"group summon";"478";"Syntax: .group summon [$charactername]

Teleport the given character and his group to you. Teleported only online characters but original selected group member can be offline."
"guid";"506";"Syntax: .guid

Display the GUID for the selected character."
"guild create";"402";"Syntax: .guild create [$GuildLeaderName] ""$GuildName""

Create a guild named $GuildName with the player $GuildLeaderName (or selected) as leader.  Guild name must in quotes."
"guild delete";"403";"Syntax: .guild delete ""$GuildName""

Delete guild $GuildName. Guild name must in quotes."
"guild invite";"404";"Syntax: .guild invite [$CharacterName] ""$GuildName""

Add player $CharacterName (or selected) into a guild $GuildName. Guild name must in quotes."
"guild rank";"406";"Syntax: .guild rank [$CharacterName] #Rank

Set for player $CharacterName (or selected) rank #Rank in a guild."
"guild uninvite";"405";"Syntax: .guild uninvite [$CharacterName]

Remove player $CharacterName (or selected) from a guild."
"guild";"401";"Syntax: .guild $subcommand
Type .guild to see the list of possible subcommands or .help guild $subcommand to see info on subcommands"
"help";"507";"Syntax: .help [$command]

Display usage instructions for the given $command. If no $command provided show list available commands."
"hidearea";"508";"Syntax: .hidearea #areaid

Hide the area of #areaid to the selected character. If no character is selected, hide this area to you."
"honor add";"409";"Syntax: .honor add $amount

Add a certain amount of honor (gained today) to the selected player."
"honor add kill";"410";"Syntax: .honor add kill

Add the targeted unit as one of your pvp kills today (you only get honor if it's a racial leader or a player)"
"honor update";"411";"Syntax: .honor update

Force the yesterday's honor fields to be updated with today's data, which will get reset for the selected player."
"honor";"408";"Syntax: .honor $subcommand
Type .honor to see the list of possible subcommands or .help honor $subcommand to see info on subcommands"
"modify talentpoints";"569";"Syntax: .modify talentpoints #amount

Set free talent points for selected character or character's pet. It will be reset to default expected at next levelup/login/quest reward."
"instance listbinds";"413";"Syntax: .instance listbinds
  Lists the binds of the selected player."
"instance savedata";"416";"Syntax: .instance savedata
  Save the InstanceData for the current player's map to the DB."
"instance stats";"415";"Syntax: .instance stats
  Shows statistics about instances."
"instance unbind";"414";"Syntax: .instance unbind <mapid|all> [difficulty]
  Clear all/some of player's binds"
"instance";"412";"Syntax: .instance $subcommand
Type .instance to see the list of possible subcommands or .help instance $subcommand to see info on subcommands"
"itemmove";"509";"Syntax: .itemmove #sourceslotid #destinationslotid

Move an item from slots #sourceslotid to #destinationslotid in your inventory

Not yet implemented"
"kick";"510";"Syntax: .kick [$charactername] [$reason]

Kick the given character name from the world with or without reason. If no character name is provided then the selected player (except for yourself) will be kicked. If no reason is provided, default is ""No Reason""."
"learn all my talents";"423";"Syntax: .learn all my talents

Learn all talents (and spells with first rank learned as talent) available for his class."
"learn all my spells";"422";"Syntax: .learn all my spells

Learn all spells (except talents and spells with first rank learned as talent) available for his class."
"learn all my pettalents";"421";"Syntax: .learn all my pettalents

Learn all talents for your pet available for his creature type (only for hunter pets)."
"learn all my class";"420";"Syntax: .learn all my class

Learn all spells and talents available for his class."
"learn all gm";"424";"Syntax: .learn all gm

Learn all default spells for Game Masters."
"learn all lang";"427";"Syntax: .learn all lang

Learn all languages"
"learn all default";"426";"Syntax: .learn all default [$playername]

Learn for selected/$playername player all default spells for his race/class and spells rewarded by completed quests."
"learn";"417";"Syntax: .learn #spell [all]

Selected character learn a spell of id #spell. If 'all' provided then all ranks learned."
"modify scale";"560";".modify scale #scale
Modify size of the selected player or creature to ""normal scale""*rate. If no player or creature is selected, modify your size.
#rate may range from 0.1 to 10."
"learn all crafts";"425";"Syntax: .learn crafts

Learn all professions and recipes."
"levelup";"287";"Syntax: .levelup [$playername] [#numberoflevels]

Increase/decrease the level of character with $playername (or the selected if not name provided) by #numberoflevels Or +1 if no #numberoflevels provided). If #numberoflevels is omitted, the level will be increase by 1. If #numberoflevels is 0, the same level will be restarted. If no character is selected and name not provided, increase your level. Command can be used for offline character. All stats and dependent values recalculated. At level decrease talents can be reset if need. Also at level decrease equipped items with greater level requirement can be lost."
"linkgrave";"511";"Syntax: .linkgrave #graveyard_id [alliance|horde]

Link current zone to graveyard for any (or alliance/horde faction ghosts). This let character ghost from zone teleport to graveyard after die if graveyard is nearest from linked to zone and accept ghost of this faction. Add only single graveyard at another map and only if no graveyards linked (or planned linked at same map)."
"list auras";"440";"Syntax: .list auras
List auras (passive and active) of selected creature or player. If no creature or player is selected, list your own auras."
"list creature";"437";"Syntax: .list creature #creature_id [#max_count]

Output creatures with creature id #creature_id found in world. Output creature guids and coordinates sorted by distance from character. Will be output maximum #max_count creatures. If #max_count not provided use 10 as default value."
"list item";"438";"Syntax: .list item #item_id [#max_count]

Output items with item id #item_id found in all character inventories, mails, auctions, and guild banks. Output item guids, item owner guid, owner account and owner name (guild name and guid in case guild bank). Will be output maximum #max_count items. If #max_count not provided use 10 as default value."
"list object";"439";"Syntax: .list object #gameobject_id [#max_count]

Output gameobjects with gameobject id #gameobject_id found in world. Output gameobject guids and coordinates sorted by distance from character. Will be output maximum #max_count gameobject. If #max_count not provided use 10 as default value."
"list";"436";"Syntax: .list $subcommand
Type .list to see the list of possible subcommands or .help list $subcommand to see info on subcommands"
"listfreeze";"512";"Syntax: .listfreeze

Search and output all frozen players."
"wp reload";"773";"Syntax: .wp reload $pathid
Load path changes ingame - IMPORTANT: must be applied first for new paths before .wp load #pathid "
"reload spell_group";"693";"Syntax: .reload spell_group
Reload spell_group table."
"lookup area";"443";"Syntax: .lookup area $namepart

Looks up an area by $namepart, and returns all matches with their area ID's."
"lookup creature";"444";"Syntax: .lookup creature $namepart

Looks up a creature by $namepart, and returns all matches with their creature ID's."
"lookup event";"445";"Syntax: .lookup event $name
Attempts to find the ID of the event with the provided $name."
"lookup faction";"446";"Syntax: .lookup faction $name
Attempts to find the ID of the faction with the provided $name."
"lookup item";"447";"Syntax: .lookup item $itemname

Looks up an item by $itemname, and returns all matches with their Item ID's."
"lookup itemset";"448";"Syntax: .lookup itemset $itemname

Looks up an item set by $itemname, and returns all matches with their Item set ID's."
"lookup map";"461";"Syntax: .lookup map $namepart

Looks up a map by $namepart, and returns all matches with their map ID's."
"lookup object";"449";"Syntax: .lookup object $objname

Looks up an gameobject by $objname, and returns all matches with their Gameobject ID's."
"lookup player account";"453";"Syntax: .lookup player account $account ($limit) 

 Searchs players, which account username is $account with optional parametr $limit of results."
"lookup player email";"454";"Syntax: .lookup player email $email ($limit) 

 Searchs players, which account email is $email with optional parametr $limit of results."
"lookup player ip";"452";"Syntax: .lookup player ip $ip ($limit) 

 Searchs players, which account ast_ip is $ip with optional parametr $limit of results."
"lookup quest";"450";"Syntax: .lookup quest $namepart

Looks up a quest by $namepart, and returns all matches with their quest ID's."
"lookup skill";"455";"Syntax: .lookup skill $$namepart

Looks up a skill by $namepart, and returns all matches with their skill ID's."
"lookup spell";"456";"Syntax: .lookup spell $namepart

Looks up a spell by $namepart, and returns all matches with their spell ID's."
"lookup taxinode";"458";"Syntax: .lookup taxinode $substring

Search and output all taxinodes with provide $substring in name."
"lookup tele";"459";"Syntax: .lookup tele $substring

Search and output all .tele command locations with provide $substring in name."
"lookup";"442";"Syntax: .lookup $subcommand
Type .lookup to see the list of possible subcommands or .help lookup $subcommand to see info on subcommands"
"group set leader";"473";"Syntax: .group set leader [$characterName]

Sets the given character (or selected) as his group's leader. Alias for '.group leader'."
"modify speed walk";"565";"Syntax: .modify speed bwalk #rate

Modify the speed of the selected player while running to ""normal walk speed""*rate. If no player is selected, modify your speed.

 #rate may range from 0.1 to 50."
"modify speed swim";"566";"Syntax: .modify speed swim #rate

Modify the swim speed of the selected player to ""normal swim speed""*rate. If no player is selected, modify your speed.

 #rate may range from 0.1 to 50."
"modify drunk";"547";"Syntax: .modify drunk #value
 Set drunk level to #value (0..100). Value 0 remove drunk state, 100 is max drunked state."
"modify energy";"548";"Syntax: .modify energy #energy

Modify the energy of the selected player. If no player is selected, modify your energy."
"modify faction";"549";"Syntax: .modify faction #factionid #flagid #npcflagid #dynamicflagid

Modify the faction and flags of the selected creature. Without arguments, display the faction and flags of the selected creature."
"modify speed fly";"564";".modify speed fly #rate
Modify the flying speed of the selected player to ""normal flying speed""*rate. If no player is selected, modify your speed.
 #rate may range from 0.1 to 50."
"modify gender";"550";"Syntax: .modify gender male/female

Change gender of selected player."
"modify honor";"551";"Syntax: .modify honor $amount

Add $amount honor points to the selected player."
"modify hp";"552";"Syntax: .modify hp #newhp

Modify the hp of the selected player. If no player is selected, modify your hp."
"modify mana";"553";"Syntax: .modify mana #newmana

Modify the mana of the selected player. If no player is selected, modify your mana."
"modify money";"554";"Syntax: .modify money #money
.money #money

Add or remove money to the selected player. If no player is selected, modify your money.

 #gold can be negative to remove money."
"modify mount";"555";"Syntax: .modify mount #id #speed
Display selected player as mounted at #id creature and set speed to #speed value."
"modify phase";"556";"Syntax: .modify phase #phasemask

Selected character phasemask changed to #phasemask with related world vision update. Change active until in game phase changed, or GM-mode enable/disable, or re-login. Character pts pasemask update to same value."
"modify rage";"557";"Syntax: .modify rage #newrage

Modify the rage of the selected player. If no player is selected, modify your rage."
"modify reputation";"558";"Syntax: .modify reputation #repId (#repvalue | $rankname [#delta])
Sets the selected players reputation with faction #repId to #repvalue or to $reprank.
If the reputation rank name is provided, the resulting reputation will be the lowest reputation for that rank plus the delta amount, if specified.
You can use '.pinfo rep' to list all known reputation ids, or use '.lookup faction $name' to locate a specific faction id."
"modify runicpower";"559";"Syntax: .modify runicpower #newrunicpower

Modify the runic power of the selected player. If no player is selected, modify your runic power."
"modify speed";"561";"Syntax: .modify speed $speedtype #rate

Modify the running speed of the selected player to ""normal base run speed""= 1. If no player is selected, modify your speed.

$speedtypes may be fly, all, walk, backwalk, or swim.

 #rate may range from 0.1 to 50."
"modify spell";"567";"TODO"
"modify standstate";"568";"Syntax: .modify standstate #emoteid

Change the emote of your character while standing to #emoteid."
"modify speed backwalk";"563";"Syntax: .modify speed backwalk #rate

Modify the speed of the selected player while running backwards to ""normal walk back speed""*rate. If no player is selected, modify your speed.

 #rate may range from 0.1 to 50."
"character titles";"286";"Syntax: .character titles [$player_name]

Show known titles list for selected player or player find by $player_name."
"modify speed all";"562";"Syntax: .modify aspeed #rate

Modify all speeds -run,swim,run back,swim back- of the selected player to ""normalbase speed for this move type""*rate. If no player is selected, modify your speed.

 #rate may range from 0.1 to 50."
"modify";"544";"Syntax: .modify $subcommand
Type .modify to see the list of possible subcommands or .help modify $subcommand to see info on subcommands"
"movegens";"514";"Syntax: .movegens
  Show movement generators stack for selected creature or player."
"mute";"515";"Syntax: .mute [$playerName] $timeInMinutes [$reason]

Disible chat messaging for any character from account of character $playerName (or currently selected) at $timeInMinutes minutes. Player can be offline."
"nameannounce";"469";"Syntax: .nameannounce $announcement.
Send an announcement to all online players, displaying the name of the sender."
"appear";"490";"Syntax: .appear [$charactername]

Teleport to the given character. Either specify the character name or click on the character's portrait,e.g. when you are in a group. Character can be offline."
"neargrave";"516";"Syntax: .neargrave [alliance|horde]

Find nearest graveyard linked to zone (or only nearest from accepts alliance or horde faction ghosts)."
"notify";"470";"Syntax: .notify $MessageToBroadcast

Send a global message to all players online in screen."
"npc set phase";"589";"Syntax: .npc set phase #phasemask

Selected unit or pet phasemask changed to #phasemask with related world vision update for players. In creature case state saved to DB and persistent. In pet case change active until in game phase changed for owner, owner re-login, or GM-mode enable/disable.."
"npc set movetype";"588";"Syntax: .npc set movetype [#creature_guid] stay/random/way [NODEL]

Set for creature pointed by #creature_guid (or selected if #creature_guid not provided) movement type and move it to respawn position (if creature alive). Any existing waypoints for creature will be removed from the database if you do not use NODEL. If the creature is dead then movement type will applied at creature respawn.
Make sure you use NODEL, if you want to keep the waypoints."
"npc set model";"587";"Syntax: .npc set model #displayid

Change the model id of the selected creature to #displayid."
"npc set link";"586";"Syntax: .npc set link $creatureGUID

Links respawn of selected creature to the condition that $creatureGUID defined is alive."
"wpgps";"340";"Syntax: .wpgps

Output current position to sql developer log as partial SQL query to be used in pathing"
"npc say";"597";"Syntax: .npc say $message
Make selected creature say specified message."
"npc move";"595";"Syntax: .npc move [#creature_guid]

Move the targeted creature spawn point to your coordinates."
"npc playemote";"596";"Syntax: .npc playemote #emoteid

Make the selected creature emote with an emote of id #emoteid."
"npc follow stop";"579";"Syntax: .npc follow stop

Selected creature (non pet) stop follow you."
"npc info";"593";"Syntax: .npc info

Display a list of details for the selected creature.

The list includes:
- GUID, Faction, NPC flags, Entry ID, Model ID,
- Level,
- Health (current/maximum),

- Field flags, dynamic flags, faction template, 
- Position information,
- and the creature type, e.g. if the creature is a vendor."
"npc follow";"578";"Syntax: .npc follow start

Selected creature start follow you until death/fight/etc."
"npc set flag";"584";"Syntax: .npc set flag #npcflag

Set the NPC flags of creature template of the selected creature and selected creature to #npcflag. NPC flags will applied to all creatures of selected creature template after server restart or grid unload/load."
"npc set factionid";"583";"Syntax: .npc set factionid #factionid

Set the faction of the selected creature to #factionid."
"npc set level";"585";"Syntax: .npc set level #level

Change the level of the selected creature to #level.

#level may range from 1 to (CONFIG_MAX_PLAYER_LEVEL) + 3."
"npc delete";"576";"Syntax: .npc delete [#guid]

Delete creature with guid #guid (or the selected if no guid is provided)"
"npc delete item";"577";"Syntax: .npc delete item #itemId

Remove item #itemid from item list of selected vendor."
"npc set allowmove";"581";"Syntax: .npc set allowmove

Enable or disable movement creatures in world. Not implemented."
"npc set entry";"582";"Syntax: .npc set entry $entry
Switch selected creature with another entry from creature_template. - New creature.id value not saved to DB."
"npc add move";"574";"Syntax: .npc add move #creature_guid [#waittime]

Add your current location as a waypoint for creature with guid #creature_guid. And optional add wait time."
"npc add item";"573";"Syntax: .npc add item #itemId <#maxcount><#incrtime><#extendedcost><#bonusListIDs>
Add item #itemid to item list of selected vendor. Also optionally set max count item in vendor item list and time to item count restoring and items ExtendedCost.
#bonusListIDs is a semicolon separated list of bonuses to add to item (such as Mythic/Heroic/Warforged/socket)"
"npc add formation";"572";"Syntax: .npc add formation $leader
Add selected creature to a leader's formation."
"npc";"570";"Syntax: .npc $subcommand
Type .npc to see the list of possible subcommands or .help npc $subcommand to see info on subcommands"
"pdump load";"289";"Syntax: .pdump load $filename $account [$newname] [$newguid]
Load character dump from dump file into character list of $account with saved or $newname, with saved (or first free) or $newguid guid."
"pdump write";"290";"Syntax: .pdump write $filename $playerNameOrGUID
Write character dump with name/guid $playerNameOrGUID to file $filename."
"pdump";"288";"Syntax: .pdump $subcommand
Type .pdump to see the list of possible subcommands or .help pdump $subcommand to see info on subcommands"
"pet create";"480";"Syntax: .pet create

Creates a pet of the selected creature."
"pet learn";"481";"Syntax: .pet learn

Learn #spellid to pet."
"reload spell_proc";"699";"Syntax: .reload spell_proc
Reload spell_proc table."
"pet unlearn";"482";"Syntax: .pet unlean

unLearn #spellid to pet."
"pet";"479";"Syntax: .pet $subcommand
Type .pet to see the list of possible subcommands or .help pet $subcommand to see info on subcommands"
"pinfo";"517";"Syntax: .pinfo [$player_name/#GUID]

Output account information and guild information for selected player or player find by $player_name or #GUID."
"playall";"518";"Syntax: .playall #soundid

Player a sound to whole server."
"possess";"519";"Syntax: .possess

Possesses indefinitely the selected creature."
"quest add";"603";"Syntax: .quest add #quest_id

Add to character quest log quest #quest_id. Quest started from item can't be added by this command but correct .additem call provided in command output."
"quest complete";"604";"Syntax: .quest complete #questid
Mark all quest objectives as completed for target character active quest. After this target character can go and get quest reward."
"quest remove";"605";"Syntax: .quest remove #quest_id

Set quest #quest_id state to not completed and not active (and remove from active quest list) for selected player."
"quest";"602";"Syntax: .quest $subcommand
Type .quest to see the list of possible subcommands or .help quest $subcommand to see info on subcommands"
"recall";"520";"Syntax: .recall [$playername]

Teleport $playername or selected player to the place where he has been before last use of a teleportation command. If no $playername is entered and no player is selected, it will teleport you."
"reload all quest";"620";"Syntax: .reload all quest

Reload all quest related tables if reload support added for this table and this table can be _safe_ reloaded."
"reload all npc";"619";"Syntax: .reload all npc
Reload npc_option, npc_trainer, npc vendor, points of interest tables."
"reload all loot";"618";"Syntax: .reload all loot

Reload all `*_loot_template` tables. This can be slow operation with lags for server run."
"reload all item";"616";"Syntax: .reload all item
Reload page_text, item_enchantment_table tables."
"reload all locales";"617";"Syntax: .reload all locales

Reload all `locales_*` tables with reload support added and that can be _safe_ reloaded."
"reload all gossips";"615";"Syntax: .reload all gossips
Reload gossip_menu, gossip_menu_option, gossip_scripts, points_of_interest tables."
"reload all";"611";"Syntax: .reload all

Reload all tables with reload support added and that can be _safe_ reloaded."
"reload areatrigger_involvedrelation";"623";"Syntax: .reload areatrigger_involvedrelation
Reload areatrigger_involvedrelation table."
