"position_x;""position_y"";""position_z"";""orientation"";""map"";""name""",,,
"-6818,09;""733","814"";""41","5661"";""2","3082"";""1"";""CenarionHold"""
"10122,8;""2540","84"";""1321","73"";""0","326671"";""1"";""CenarionEnclave"""
"-6834;""763","39"";""43","0314"";""4","97156"";""1"";""CenarioHold"""
"4035,83;""1435","5"";""-123","376"";""5","73225"";""530"";""CelestialRidge"""
"-8204,88;""-4495","25"";""9","0091"";""4","72574"";""1"";""CavernsOfTime"""
"-8658,39;""746","877"";""96","825"";""0","646923"";""0"";""CathedralSquare"""
"-8583,63;""805","724"";""106","519"";""0","660715"";""0"";""CathedralOfLight"""
"-2866,74;""4738","97"";""-4","36527"";""0","870223"";""530"";""CarrionHill"""
"1650,58;""200","023"";""-62","1773"";""1","41639"";""0"";""Canals"""
"-6838,66;""-2833","16"";""241","666"";""1","16111"";""0"";""CampWurg"""
"-2363,11;""-1913","78"";""95","7829"";""0","165556"";""1"";""CampTaurajo"""
"3216,07;""3543","61"";""124","642"";""5","94353"";""530"";""CampOfBoom"""
"-2919,35;""-264","535"";""53","6197"";""0","409027"";""1"";""CampNarache"""
"-4396,7;""224","841"";""25","4136"";""4","93684"";""1"";""CampMojache"""
"-6264,36;""-3703","95"";""244","144"";""4","65455"";""0"";""CampKosh"""
"-4619,13;""-1234","54"";""-53","5973"";""3","48882"";""1"";""CampEThok"""
"-7166,43;""-2390","08"";""240","945"";""5","77925"";""0"";""CampCagg"""
"-7022,26;""-3609","21"";""241","879"";""4","08514"";""0"";""CampBoff"""
"-44,6129;""-505","122"";""-46","1274"";""1","84172"";""1"";""CampAparaje"""
"1248,8;""-2604","13"";""90","961"";""0","255412"";""0"";""CaerDarrow"""
"-7664,76;""-1100","87"";""399","679"";""0","561981"";""469"";""BWL"""
"-8118,54;""-1633","83"";""132","996"";""0","089067"";""0"";""BurningSteppes"""
"-2560,08;""6248","7"";""17","9276"";""1","14689"";""530"";""BurningBladeRuins"""
"-171,297;""-4362","51"";""68","0577"";""0","011192"";""1"";""BurningBladeCoven"""
"96,4462;""1002","35"";""-86","9984"";""6","26671"";""564"";""BT"""
"2465,15;""-5116","14"";""76","4285"";""5","12016"";""0"";""BrowmanMill"""
"-8008,65;""1107","88"";""-0","668291"";""3","56178"";""1"";""BronzebeardEncampment"""
"3507,86;""4615","89"";""216","47"";""0","378958"";""530"";""BrokenWilds"""
"-7997,8;""-3891","14"";""11","7253"";""1","31317"";""1"";""BrokenPillar"""
"-467,983;""3471","16"";""38","2596"";""4","92625"";""530"";""BrokenHill"""
"-3867,39;""1131","48"";""154","788"";""6","16863"";""1"";""BrokenCommons"""
"-4505,81;""-11623","1"";""11","3414"";""3","04968"";""530"";""BristlelimbVillage"""
"-2534,78;""-12296","2"";""13","9722"";""6","17556"";""530"";""BristlelimbEnclave"""
"2259,25;""290","43"";""34","1137"";""0","987414"";""0"";""Brill"""
"-10443,9;""-830","975"";""49","7064"";""1","95754"";""0"";""BrightwoodGrove"""
"2539,96;""-53","7843"";""28","1068"";""1","0229"";""0"";""BrightwaterLake"""
"-5385,04;""310","278"";""394","151"";""5","19649"";""0"";""BrewnallVillage"""
"458,32;""26","52"";""-70","67"";""4","95"";""230"";""BRD"""
"-2077,71;""-2700","8"";""93","9102"";""5","72965"";""1"";""Bramblescar"""
"-3029,73;""-1058","27"";""50","5731"";""4","53254"";""1"";""BramblebladeRavine"""
"-9757,58;""-897","584"";""39","4214"";""5","20747"";""0"";""BrackwellPumpkinPatch"""
"-3130,67;""-2908","43"";""34","0976"";""1","42798"";""1"";""BrackenwallVillage"""
"-69,2305;""63","8333"";""48","9635"";""2","54067"";""1"";""BoulderslideRavine"""
"-100,856;""251","61"";""100","892"";""0","777452"";""1"";""BoulderslideCavern"""
"3588,57;""7143","33"";""140","447"";""1","56718"";""530"";""BoulderMok"""
"1329,13;""-3598","07"";""91","7029"";""3","94133"";""1"";""BoulderLodeMine"""
"-1194,77;""-2202","83"";""53","6903"";""1","52416"";""0"";""BoulderGor"""
"-1210,81;""-2082","89"";""49","878"";""0","221184"";""0"";""BoulderfistOutpost"""
"-1197,66;""-2130","17"";""61","2405"";""1","26105"";""0"";""BoulderfistOuspost"""
"-1968,97;""-2773","94"";""79","3106"";""4","10542"";""0"";""BoulderfistHall"""
"3155,52;""-3526","2"";""130","635"";""5","5267"";""1"";""BoughShadow"""
"40,0395;""-28","613"";""-1","1189"";""2","35856"";""553"";""Bota"""
"-14297,2;""530","993"";""8","77916"";""3","98863"";""0"";""BootyBay"""
"-2975,06;""3481","44"";""-0","79203"";""5","2333"";""530"";""BonechewerRuins"""
"-2270,12;""2505","58"";""74","147"";""3","50113"";""1"";""BolgansHole"""
"-349,384;""7253","7"";""47","4862"";""3","07277"";""530"";""BohaMuRuins"""
"-235,037;""-2566","93"";""118","73"";""1","11813"";""0"";""BogensLedge"""
"-3012,77;""-1066","97"";""8","82117"";""0","006195"";""0"";""BluegillMarsh"""
"-2825,56;""-3112","78"";""36","0223"";""0","327524"";""1"";""Bluefen"""
"-1944,5;""-11873","7"";""49","3983"";""6","04835"";""530"";""BloodWatch"""
"5277,69;""-512","571"";""322","307"";""3","04806"";""1"";""BloodvenomRiver"""
"5128,91;""-343","506"";""355","035"";""3","39176"";""1"";""BloodvenomPost"""
"5282,47;""-716","836"";""346","13"";""0","216695"";""1"";""BloodvenomFalls"""
"1641,62;""-1448","83"";""147","085"";""2","65133"";""1"";""BloodtoothCamp"""
"539,523;""6226","4"";""21","2966"";""0","731476"";""530"";""BloodscaleGrounds"""
"360,89;""8136","18"";""23","3585"";""1","1674"";""530"";""BloodscaleEnclave"""
"-13470;""675","488"";""10","4762"";""4","9884"";""0"";""BloodsailCompound"""
"-1993,62;""-11475","8"";""63","9657"";""5","29437"";""530"";""BloodmystIsle"""
"1809,28;""6411","22"";""-10","338"";""3","25427"";""530"";""BloodmaulRavine"""
"1623,51;""6344","2"";""-2","54653"";""3","86891"";""530"";""BloodmaulOutpost"""
"3526,96;""5794","43"";""1","72332"";""2","48461"";""530"";""BloodmaulCamp"""
"-2240,91;""-399","174"";""-9","42446"";""2","53353"";""1"";""BloodhoofVillage"""
"-4324,33;""-2671","96"";""32","864"";""1","86217"";""1"";""BloodfenBurrow"""
"-1933,1;""-12871","3"";""85","896"";""5","32971"";""530"";""BloodcurseIsle"""
"7171,91;""-6397","79"";""49","1227"";""5","62946"";""530"";""BleedingZiggurat"""
"-3273,56;""5988","13"";""-2","58558"";""1","14452"";""530"";""BleedingHollowRuins"""
"-11182,5;""-3016","67"";""7","42235"";""4","0004"";""0"";""BlastedLands"""
"2211,66;""5712","69"";""272","876"";""0","564311"";""530"";""BladspireOutpost"""
"-1772,53;""-11581","4"";""35","9727"";""2","16531"";""530"";""Bladewood"""
"1059,17;""7087","83"";""118","027"";""0","112612"";""530"";""BladeToothCanyon"""
"933,847;""5948","09"";""121","211"";""0","641137"";""530"";""BladesRun"""
"2639,37;""6526","93"";""0","818903"";""6","17248"";""530"";""BladespireHold"""
"2209,1;""6376","61"";""-10","338"";""3","27783"";""530"";""BladespireGrounds"""
"3037,67;""5962","86"";""130","774"";""1","27253"";""530"";""BladesEdgeMountains"""
"1324,36;""-5005","13"";""0","814836"";""5","04482"";""1"";""BladefistBay"""
"2899,4;""5081","33"";""264","302"";""1","15416"";""530"";""BladedGulch"""
"2493,53;""-4222","79"";""74","027"";""1","21046"";""0"";""BlackwoodLake"""
"4621,7;""33","6288"";""69","6487"";""4","35643"";""1"";""BlackwoodDen"""
"1398,08;""179","4"";""12","3398"";""1","81183"";""1"";""BlackwolfRiver"""
"164,789;""-475","305"";""116","842"";""0","022714"";""229"";""BlackwingLair"""
"3202,45;""7117","62"";""173","86"";""3","63041"";""530"";""BlackwingCoven"""
"-3636,25;""3191","57"";""312","961"";""4","99533"";""530"";""BlackwindValley"""
"-3663,45;""3577","09"";""259","226"";""3","19599"";""530"";""BlackwindLake"""
"-3945,67;""-1776","91"";""91","6706"";""0","595491"";""1"";""BlackthornRidge"""
"-3649,92;""317","469"";""35","2827"";""2","94285"";""530"";""BlackTemple"""
"-2348,01;""-11059","3"";""0","530463"";""2","53917"";""530"";""BlacksiltShore"""
"-7733,43;""-1510","24"";""132","792"";""1","01584"";""0"";""BlackrockStronghold"""
"-7527,05;""-1226","77"";""285","732"";""5","29626"";""0"";""BlackrockSpire"""
"-8520,94;""-2559","99"";""133","334"";""3","27225"";""0"";""BlackrockPass"""
"-7494,94;""-1123","49"";""265","547"";""3","3092"";""0"";""BlackrockMountain"""
"-7179,34;""-921","212"";""165","821"";""5","09599"";""0"";""BlackrockDepths"""
"-2462,03;""-3157","79"";""35","5825"";""4","91817"";""1"";""BlackhoofVillage"""
"4249,99;""740","102"";""-25","671"";""1","34062"";""1"";""BlackfathomDeeps"""
"-7270,01;""-804","3"";""295","929"";""2","43188"";""0"";""BlackcharCave"""
"-3528,34;""-1339","17"";""10","2396"";""3","07711"";""0"";""BlackChannelMarsh"""
"4869,55;""-7058","97"";""105","579"";""4","8442"";""1"";""BitterReaches"""
"-151,89;""106","96"";""-39","87"";""4","53"";""48"";""Bfd"""
"-3,9967;""14","6363"";""-44","8009"";""1","21574"";""542"";""Bf"""
"-2626,6;""-12430","8"";""2","59312"";""3","08502"";""530"";""BerylCoast"""
"-370,444;""897","319"";""132","97"";""1","03222"";""0"";""BerensPeril"""
"-10361,1;""-1529","87"";""91","4594"";""5","96075"";""0"";""BeggarsHaunt"""
"-3974,75;""-3814","87"";""37","7727"";""3","30494"";""1"";""BeezilsWreck"""
"3872,82;""-4755","78"";""268","5"";""3","94022"";""1"";""BearsHead"""
"3665,57;""-6014","97"";""5","71029"";""5","4152"";""1"";""BayOfStorms"""
"-13210,4;""294","518"";""21","8575"";""4","92246"";""0"";""BattleRing"""
"3825,87;""-120","149"";""-0","200964"";""5","18504"";""1"";""BathransHaunt"""
"3815,16;""6110","93"";""265","862"";""1","15472"";""530"";""BashirLanding"""
"6712,31;""-21","5758"";""42","8535"";""1","15594"";""1"";""BashalAran"""
"48,9976;""-2715","55"";""91","6677"";""0","158612"";""1"";""Barrens"""
"-2537,88;""-1692","24"";""4","30329"";""0","08867"";""0"";""BaradinBay"""
"9952,24;""1538","42"";""1312","13"";""3","28133"";""1"";""BanEthilHollow"""
"9863,43;""1558","24"";""1329","33"";""2","35456"";""1"";""BanEthilBarrowDen"""
"1996,05;""-374","731"";""35","4522"";""5","19636"";""0"";""BalnirFarmstead"""
"-12019,5;""363","339"";""2","1088"";""5","11095"";""0"";""BallalRuins"""
"-12551,3;""-714","58"";""38","8789"";""5","67092"";""0"";""BaliaMahRuins"""
"-4134,29;""-2192","52"";""50","7921"";""3","99548"";""1"";""BaelModan"""
"-4091,59;""-2329","66"";""126","129"";""5","15315"";""1"";""BaelDunKeep"""
"-1942,74;""413","534"";""134","205"";""2","53057"";""1"";""BaelDunDigsite"""
"-6712,91;""-3350","91"";""241","254"";""1","01048"";""0"";""Badlands"""
"-4190,85;""-12516","5"";""44","5276"";""1","34225"";""530"";""AzureWatch"""
"-4216,87;""-12336","9"";""4","34247"";""6","02008"";""530"";""AzuremystIsle"""
"-902,924;""244","914"";""8","80433"";""5","61973"";""0"";""AzurelodeMine"""
"9620,79;""-8043","05"";""0","475485"";""2","05119"";""530"";""AzurebreezeCoast"""
"128,205;""135","136"";""236","11"";""4","59132"";""37"";""AzsharaCrater"""
"4023,99;""-5888","25"";""114","119"";""2","9839"";""1"";""Azshara"""
"-1512,97;""-11378","7"";""67","4006"";""0","326728"";""530"";""Axxarien"""
"-215,738;""-309","394"";""6","66761"";""3","07325"";""30"";""AV"""
"-3324,49;""4943","45"";""-101","239"";""4","63901"";""530"";""Auchindoun"""
"-3637,1;""5188","61"";""-19","1186"";""3","39151"";""530"";""AuchenaiGrounds"""
"-3362,04;""5209","85"";""-101","05"";""1","60924"";""530"";""AuchenaiCrypts"""
"6501,4;""481","607"";""6","27062"";""1","70033"";""1"";""Auberdine"""
"-3336,2;""363","236"";""120","466"";""0","150953"";""530"";""AtaMalTerrace"""
"2676,19;""-422","905"";""107","123"";""0","648691"";""1"";""Astranaar"""
"1928,34;""-2165","95"";""93","7896"";""0","205731"";""1"";""Ashenvale"""
"2779,37;""3210","53"";""149","846"";""3","37686"";""530"";""ArklonRuins"""
"2865,62;""3196","4"";""177","857"";""0","572978"";""530"";""ArklonisRidge"""
"-10456,7;""-2139","85"";""90","7913"";""6","26152"";""0"";""AridensCamp"""
"3043,33;""3681","33"";""143","065"";""5","07464"";""530"";""Area52"""
"-1,23165;""0","014346"";""-0","204293"";""0","00984"";""552"";""Arca"""
"-1508,51;""-2732","06"";""32","4986"";""3","35708"";""0"";""ArathiHighlands"""
"686,053;""683","165"";""-12","9149"";""0","816022"";""529"";""ArathiBasinHorde"""
"1308,68;""1306","03"";""-9","0107"";""3","91285"";""529"";""ArathiBasinAlliance"""
"1017,16;""1040","59"";""-44","9017"";""0","325149"";""529"";""ArathiBasin"""
"-8213,48;""2016"";""129","072"";""1","28414"";""531"";""AQ40""",
"-8437,74;""1516","91"";""31","9074"";""2","73319"";""509"";""AQ20"""
"-6925,52;""-2506","75"";""240","744"";""0","795898"";""0"";""ApocryphansRest"""
"7427,38;""-7297","13"";""93","3437"";""0","18602"";""530"";""AnTelas"""
"6828,47;""-7186","99"";""24","7617"";""4","91465"";""530"";""AnOwyn"""
"1593,28;""8607","12"";""-32","6589"";""6","1963"";""530"";""AngoRoshStronghold"""
"1046,25;""8503","63"";""20","2232"";""2","63767"";""530"";""AngoRoshGrounds"""
"-6398,46;""-3166","67"";""299","812"";""0","769213"";""0"";""AngorFortress"""
"-3376,27;""-2270","04"";""53","5307"";""4","14502"";""0"";""AngerfangEncampment"""
"7012,04;""-6814","81"";""42","0817"";""5","87793"";""530"";""AndilienEstate"""
"7939,87;""-6484","24"";""47","8099"";""3","93927"";""530"";""AnDaroth"""
"-2145,99;""8844","79"";""19","8449"";""3","42056"";""530"";""AncestralGrounds"""
"-4021,4;""-13582","1"";""54","7153"";""2","06953"";""530"";""AmmenVale"""
"-4260,24;""-13021"";""1","0163"";""5","35482"";""530"";""AmmenFord""",
"-4155,37;""-13498","5"";""48","356"";""5","92816"";""530"";""AmmenFields"""
"5674,5;""128","459"";""32","3476"";""6","11808"";""1"";""AmethAran"""
"-1566,43;""-10800","1"";""51","7294"";""0","885114"";""530"";""AmberwebPass"""
"-5537,72;""-1336","54"";""398","664"";""0","237343"";""0"";""AmberstillRanch"""
"-129,094;""835","621"";""63","598"";""4","83351"";""0"";""Ambermill"""
"6849,17;""-7747","52"";""122","016"";""4","56069"";""530"";""AmaniPass"""
"7639,28;""-7482","36"";""158","73"";""1","63194"";""530"";""AmaniCatacombs"""
"-9194,3;""-2748","93"";""88","8711"";""1","84838"";""0"";""AlthersMill"""
"-818,155;""-623","043"";""54","0884"";""2","15276"";""30"";""AlteracValleyHorde"""
"883,187;""-489","375"";""96","7618"";""3","06932"";""30"";""AlteracValleyAlliance"""
"-215,738;""-309","394"";""6","66761"";""3","07325"";""30"";""AlteracValley"""
"370,763;""-491","355"";""175","361"";""5","37858"";""0"";""AlteracMountains"""
"-7616,9;""-744","571"";""190","288"";""5","01897"";""0"";""AltarOfStorms"""
"-3053,96;""828","896"";""-10","4689"";""5","53466"";""530"";""AltarOfShatar"""
"-2949,27;""3958","32"";""0","285465"";""1","37205"";""530"";""AllerianStronghold"""
"-2593,73;""3326","38"";""0","607573"";""4","93171"";""530"";""AllerianPost"""
"-4817,04;""-2656","26"";""327","12"";""4","68835"";""0"";""AlgazStation"""
"-10656,1;""1655"";""41","8732"";""2","86155"";""0"";""AlexstonFarmstead""",
"10405,3;""883","631"";""1320","33"";""0","102033"";""1"";""Aldrassil"""
"-1746,58;""5780","03"";""146","44"";""1","30629"";""530"";""AldorRise"""
"-2681,4;""-4787","21"";""16","0751"";""4","69276"";""1"";""AlcazIsland"""
"451,572;""-3342","23"";""119","689"";""0","772541"";""0"";""AgolWatha"""
"-7040,08;""-3342","15"";""241","667"";""0","82338"";""0"";""AgmondsEnd"""
"2799,46;""847","549"";""111","842"";""0","509892"";""0"";""AgamandMills"""
"-2020,72;""-2107","58"";""91","9626"";""5","49717"";""1"";""FieldsOfBlood"""
"-2059,85;""8550","89"";""24","0587"";""1","944"";""530"";""AerisLanding"""
"260,366;""-2125","21"";""119","565"";""3","18494"";""0"";""AeriePeak"""
"-10964;""240","019"";""28","5578"";""2","99821"";""0"";""AddlesStead"""
"3742,43;""2083","64"";""148","765"";""6","032"";""530"";""AccessShaftZeon"""
"-21,8975;""0","16"";""-0","1206"";""6","28318"";""558"";""AC"""
"-7583,58;""-3408","81"";""43","2019"";""2","47556"";""1"";""AbyssalSands"""
"-2068,19;""7463","77"";""-18","9908"";""5","21755"";""530"";""AbandonedArmory"""
"1054,94;""1055","23"";""-48","2358"";""0","313367"";""529"";""AB"""
"-3646,88;""-3847","61"";""4","72729"";""6","08682"";""1"";""DustwallowBay"""
"-4043,65;""-2991","32"";""36","3984"";""3","37443"";""1"";""DustwallowMarsh"""
"790,409;""-4756","59"";""38","4724"";""0","283734"";""1"";""DustwindCave"""
"-8394,21;""606","628"";""94","6108"";""1","15148"";""0"";""DwarvenDistrict"""
"2300,97;""-4613","36"";""73","6231"";""0","367722"";""0"";""EasternPlaguelands"""
"-1011,45;""-765","635"";""5","14928"";""2","23574"";""0"";""EasternStrand"""
"-8794,45;""-3396","89"";""11","7786"";""3","88771"";""1"";""EastmoonRuins"""
"8748,09;""-7067","4"";""37","1027"";""4","29194"";""530"";""EastSanctum"""
"-9450,82;""-1299","92"";""42","7818"";""5","20197"";""0"";""EastvaleLoggingCamp"""
"3194,88;""-4038","96"";""107","991"";""6","27156"";""0"";""EastwallGate"""
"2521,67;""-4756","54"";""99","988"";""5","5003"";""0"";""EastwallTower"""
"-1041,59;""-5346","67"";""0","218679"";""4","0102"";""1"";""EchoIsles"""
